ID_REF	VALUE
R1 - C1 : 1	0.00
R1 - C1 : 10	92.07
R1 - C1 : 11	0.00
R1 - C1 : 12	43.82
R1 - C1 : 13	0.00
R1 - C1 : 14	12.46
R1 - C1 : 15	97.45
R1 - C1 : 16	0.00
R1 - C1 : 2	17.41
R1 - C1 : 3	118.20
R1 - C1 : 4	29.92
R1 - C1 : 5	32.47
R1 - C1 : 6	0.00
R1 - C1 : 7	28.57
R1 - C1 : 8	24.78
R1 - C1 : 9	36.58
R1 - C10 : 1	583.83
R1 - C10 : 10	268.29
R1 - C10 : 11	11.99
R1 - C10 : 12	89.81
R1 - C10 : 13	217.21
R1 - C10 : 14	49.40
R1 - C10 : 15	47.53
R1 - C10 : 16	61.26
R1 - C10 : 2	47.07
R1 - C10 : 3	115.09
R1 - C10 : 4	20.60
R1 - C10 : 5	473.32
R1 - C10 : 6	132.64
R1 - C10 : 7	19.67
R1 - C10 : 8	199.24
R1 - C10 : 9	156.08
R1 - C11 : 1	21.56
R1 - C11 : 10	36.10
R1 - C11 : 11	13.55
R1 - C11 : 12	235.88
R1 - C11 : 13	576.69
R1 - C11 : 14	183.65
R1 - C11 : 15	179.96
R1 - C11 : 16	89.05
R1 - C11 : 2	0.00
R1 - C11 : 3	14.16
R1 - C11 : 4	0.00
R1 - C11 : 5	64.19
R1 - C11 : 6	0.00
R1 - C11 : 7	145.88
R1 - C11 : 8	66.13
R1 - C11 : 9	205.16
R1 - C12 : 1	11.11
R1 - C12 : 10	117.59
R1 - C12 : 11	0.00
R1 - C12 : 12	35.95
R1 - C12 : 13	119.85
R1 - C12 : 14	41.19
R1 - C12 : 15	83.47
R1 - C12 : 16	137.16
R1 - C12 : 2	23.39
R1 - C12 : 3	156.61
R1 - C12 : 4	105.15
R1 - C12 : 5	137.13
R1 - C12 : 6	98.05
R1 - C12 : 7	56.79
R1 - C12 : 8	60.23
R1 - C12 : 9	196.19
R1 - C13 : 1	15.65
R1 - C13 : 10	182.96
R1 - C13 : 11	6.66
R1 - C13 : 12	82.91
R1 - C13 : 13	21.43
R1 - C13 : 14	59.89
R1 - C13 : 15	28.11
R1 - C13 : 16	135.59
R1 - C13 : 2	9.38
R1 - C13 : 3	16.93
R1 - C13 : 4	37.91
R1 - C13 : 5	53.21
R1 - C13 : 6	0.00
R1 - C13 : 7	66.89
R1 - C13 : 8	45.87
R1 - C13 : 9	149.44
R1 - C14 : 1	45.03
R1 - C14 : 10	63.14
R1 - C14 : 11	19.37
R1 - C14 : 12	122.15
R1 - C14 : 13	49.79
R1 - C14 : 14	79.87
R1 - C14 : 15	135.84
R1 - C14 : 16	281.90
R1 - C14 : 2	159.04
R1 - C14 : 3	116.08
R1 - C14 : 4	34.32
R1 - C14 : 5	59.22
R1 - C14 : 6	37.93
R1 - C14 : 7	63.04
R1 - C14 : 8	88.08
R1 - C14 : 9	174.22
R1 - C15 : 1	28.00
R1 - C15 : 10	113.55
R1 - C15 : 11	0.00
R1 - C15 : 12	50.83
R1 - C15 : 13	172.09
R1 - C15 : 14	14.22
R1 - C15 : 15	50.41
R1 - C15 : 16	168.48
R1 - C15 : 2	20.35
R1 - C15 : 3	36.45
R1 - C15 : 4	0.00
R1 - C15 : 5	185.05
R1 - C15 : 6	526.27
R1 - C15 : 7	68.92
R1 - C15 : 8	177.90
R1 - C15 : 9	262.70
R1 - C16 : 1	233.04
R1 - C16 : 10	65.77
R1 - C16 : 11	0.00
R1 - C16 : 12	148.13
R1 - C16 : 13	375.16
R1 - C16 : 14	0.00
R1 - C16 : 15	61.46
R1 - C16 : 16	160.90
R1 - C16 : 2	401.41
R1 - C16 : 3	125.79
R1 - C16 : 4	59.14
R1 - C16 : 5	50.58
R1 - C16 : 6	43.45
R1 - C16 : 7	121.96
