ID_REF	VALUE
R1 - C1 : 1	0
R1 - C1 : 10	0.939073966
R1 - C1 : 11	0.146294943
R1 - C1 : 12	0.665095987
R1 - C1 : 13	0.917396317
R1 - C1 : 14	0.363518293
R1 - C1 : 15	6.91968221
R1 - C1 : 16	0
R1 - C1 : 2	0.219204057
R1 - C1 : 3	0.99644934
R1 - C1 : 4	0.322188717
R1 - C1 : 5	0.633420948
R1 - C1 : 6	0.036201257
R1 - C1 : 7	0.367571727
R1 - C1 : 8	0.058557711
R1 - C1 : 9	4.900645519
R1 - C10 : 1	3.12590696
R1 - C10 : 10	4.03355308
R1 - C10 : 11	0.795106336
R1 - C10 : 12	1.030394166
R1 - C10 : 13	1.296194041
R1 - C10 : 14	0.75056496
R1 - C10 : 15	0.398970445
R1 - C10 : 16	0.572025878
R1 - C10 : 2	0.476108216
R1 - C10 : 3	1.274250899
R1 - C10 : 4	0.272626334
R1 - C10 : 5	3.634000547
R1 - C10 : 6	0.615539904
R1 - C10 : 7	0.221293885
R1 - C10 : 8	1.062882014
R1 - C10 : 9	0.733907872
R1 - C11 : 1	0.631232113
R1 - C11 : 10	0.465885653
R1 - C11 : 11	0.515689367
R1 - C11 : 12	1.304756829
R1 - C11 : 13	1.108119133
R1 - C11 : 14	0.94764552
R1 - C11 : 15	0.430620482
R1 - C11 : 16	0.932008422
R1 - C11 : 2	0
R1 - C11 : 3	1.10022126
R1 - C11 : 4	0
R1 - C11 : 5	0.430996561
R1 - C11 : 6	0.41522327
R1 - C11 : 7	2.667298265
R1 - C11 : 8	0.280600145
R1 - C11 : 9	0.679774534
R1 - C12 : 1	0.120386154
R1 - C12 : 10	1.419176659
R1 - C12 : 11	0.308608004
R1 - C12 : 12	0.240328145
R1 - C12 : 13	0.498001024
R1 - C12 : 14	0.417327221
R1 - C12 : 15	0.310873172
R1 - C12 : 16	0.775132207
R1 - C12 : 2	0.200601527
R1 - C12 : 3	1.464298219
R1 - C12 : 4	1.298906159
R1 - C12 : 5	1.508265322
R1 - C12 : 6	0.523895648
R1 - C12 : 7	1.046098107
R1 - C12 : 8	0.315607977
R1 - C12 : 9	0.645854897
R1 - C13 : 1	0.651905178
R1 - C13 : 10	1.87986412
R1 - C13 : 11	0.382406307
R1 - C13 : 12	0.943353727
R1 - C13 : 13	1.556525148
R1 - C13 : 14	0.209982469
R1 - C13 : 15	0.254932001
R1 - C13 : 16	0.79455728
R1 - C13 : 2	0.434118382
R1 - C13 : 3	0.603938285
R1 - C13 : 4	0.401078364
R1 - C13 : 5	0.788692214
R1 - C13 : 6	0
R1 - C13 : 7	1.217065968
R1 - C13 : 8	0.294056709
R1 - C13 : 9	0.515195333
R1 - C14 : 1	0.287135899
R1 - C14 : 10	1.04791394
R1 - C14 : 11	0.340256387
R1 - C14 : 12	1.481357623
R1 - C14 : 13	0.302417214
R1 - C14 : 14	0.662714034
R1 - C14 : 15	0.573832745
R1 - C14 : 16	0.869744479
R1 - C14 : 2	1.345943511
R1 - C14 : 3	0.914968062
R1 - C14 : 4	0.382495152
R1 - C14 : 5	0.759891502
R1 - C14 : 6	0.817053554
R1 - C14 : 7	0.687693995
R1 - C14 : 8	0.520742157
R1 - C14 : 9	0.652127389
R1 - C15 : 1	0.880555377
R1 - C15 : 10	1.57475523
R1 - C15 : 11	0
R1 - C15 : 12	0.571077475
R1 - C15 : 13	0.650089133
R1 - C15 : 14	0.096315529
R1 - C15 : 15	0.370029461
R1 - C15 : 16	0.669471157
R1 - C15 : 2	0.249172324
R1 - C15 : 3	0.543540506
R1 - C15 : 4	0.020040371
R1 - C15 : 5	2.165357513
R1 - C15 : 6	1.665295749
R1 - C15 : 7	1.100989947
R1 - C15 : 8	0.516928411
R1 - C15 : 9	0.810136058
R1 - C16 : 1	2.95182176
R1 - C16 : 10	0.985360736
R1 - C16 : 11	0.273046781
R1 - C16 : 12	1.189608986
R1 - C16 : 13	1.886525839
R1 - C16 : 14	0.248656326
R1 - C16 : 15	0.346767351
R1 - C16 : 16	0.630189694
R1 - C16 : 2	3.600440654
R1 - C16 : 3	0.59595739
R1 - C16 : 4	0.581113696
R1 - C16 : 5	0.868401697
R1 - C16 : 6	0.506885179
R1 - C16 : 7	1.985445529
R1 - C16 : 8	0.156159569
R1 - C16 : 9	0.249756963
R1 - C17 : 1	1.034559757
R1 - C17 : 10	1.628283043
R1 - C17 : 11	3.472620449
R1 - C17 : 12	2.966859998
R1 - C17 : 13	0.611122629
R1 - C17 : 14	1.779919854
R1 - C17 : 15	0.46149745
R1 - C17 : 16	1.3638904
R1 - C17 : 2	1.571503778
R1 - C17 : 3	1.275148648
R1 - C17 : 4	0.61956144
R1 - C17 : 5	0.684580766
R1 - C17 : 6	0.263955379
R1 - C17 : 7	0.300228445
R1 - C17 : 8	0.687682998
R1 - C17 : 9	0.158675613
R1 - C18 : 1	2.093179433
R1 - C18 : 10	1.661370373
R1 - C18 : 11	0.097069838
R1 - C18 : 12	2.680544725
R1 - C18 : 13	1.034273315
R1 - C18 : 14	1.111286566
R1 - C18 : 15	1.260322454
R1 - C18 : 16	0.533743828
R1 - C18 : 2	0.072896084
R1 - C18 : 3	1.424290933
R1 - C18 : 4	9.076361626
R1 - C18 : 5	0.919588101
R1 - C18 : 6	0.441743286
R1 - C18 : 7	1.008086532
R1 - C18 : 8	0.457945604
R1 - C18 : 9	0.358874397
R1 - C19 : 1	2.480878194
R1 - C19 : 10	0.681789036
R1 - C19 : 11	3.64842091
R1 - C19 : 12	0.478375032
R1 - C19 : 13	0.643816289
R1 - C19 : 14	0.713428405
R1 - C19 : 15	0.569594286
R1 - C19 : 16	0.162781604
R1 - C19 : 2	0.83870133
R1 - C19 : 3	0.026441256
R1 - C19 : 4	1.747710191
R1 - C19 : 5	1.955463499
R1 - C19 : 6	0.455731787
R1 - C19 : 7	0
R1 - C19 : 8	0.254219767
R1 - C19 : 9	0.679665884
R1 - C2 : 1	0.901967777
R1 - C2 : 10	2.298715611
R1 - C2 : 11	1.390628547
R1 - C2 : 12	1.156860082
R1 - C2 : 13	0.469284636
R1 - C2 : 14	1.218509611
R1 - C2 : 15	0.747780852
R1 - C2 : 16	1.90745955
R1 - C2 : 2	0
R1 - C2 : 3	0.043736978
R1 - C2 : 4	0.702498925
R1 - C2 : 5	0.313441322
R1 - C2 : 6	0.479156565
R1 - C2 : 7	1.193314759
R1 - C2 : 8	1.869829905
R1 - C2 : 9	0.524761926
R1 - C20 : 1	0.324298466
R1 - C20 : 10	2.072237669
R1 - C20 : 11	73.24726709
R1 - C20 : 12	1.351115174
R1 - C20 : 13	0.232277375
R1 - C20 : 14	1.176691196
R1 - C20 : 15	0.839254466
R1 - C20 : 16	0.841792536
R1 - C20 : 2	1.160458663
R1 - C20 : 3	1.772621152
R1 - C20 : 4	0.724529042
R1 - C20 : 5	0.032179232
R1 - C20 : 6	0.236042693
R1 - C20 : 7	1.324400791
R1 - C20 : 8	0.483265984
