ID_REF	VALUE
R1 - C1 : 1	0.00
R1 - C1 : 10	33.49
R1 - C1 : 11	0.00
R1 - C1 : 12	18.39
R1 - C1 : 13	0.00
R1 - C1 : 14	3.31
R1 - C1 : 15	38.83
R1 - C1 : 16	0.00
R1 - C1 : 2	8.59
R1 - C1 : 3	46.46
R1 - C1 : 4	17.04
R1 - C1 : 5	14.27
R1 - C1 : 6	0.00
R1 - C1 : 7	12.45
R1 - C1 : 8	8.36
R1 - C1 : 9	20.14
R1 - C10 : 1	630.81
R1 - C10 : 10	303.85
R1 - C10 : 11	16.84
R1 - C10 : 12	63.11
R1 - C10 : 13	162.31
R1 - C10 : 14	65.05
R1 - C10 : 15	72.77
R1 - C10 : 16	45.43
R1 - C10 : 2	64.96
R1 - C10 : 3	96.34
R1 - C10 : 4	23.72
R1 - C10 : 5	436.12
R1 - C10 : 6	112.01
R1 - C10 : 7	17.47
R1 - C10 : 8	124.57
R1 - C10 : 9	125.46
R1 - C11 : 1	23.68
R1 - C11 : 10	31.89
R1 - C11 : 11	5.98
R1 - C11 : 12	143.69
R1 - C11 : 13	391.30
R1 - C11 : 14	148.23
R1 - C11 : 15	270.32
R1 - C11 : 16	68.16
R1 - C11 : 2	0.00
R1 - C11 : 3	25.07
R1 - C11 : 4	2.97
R1 - C11 : 5	35.25
R1 - C11 : 6	0.00
R1 - C11 : 7	184.78
R1 - C11 : 8	76.29
R1 - C11 : 9	154.83
R1 - C12 : 1	9.82
R1 - C12 : 10	98.70
R1 - C12 : 11	0.00
R1 - C12 : 12	36.58
R1 - C12 : 13	93.64
R1 - C12 : 14	45.93
R1 - C12 : 15	96.01
R1 - C12 : 16	110.42
R1 - C12 : 2	30.32
R1 - C12 : 3	113.66
R1 - C12 : 4	171.73
R1 - C12 : 5	139.77
R1 - C12 : 6	141.37
R1 - C12 : 7	49.52
R1 - C12 : 8	43.30
R1 - C12 : 9	159.31
R1 - C13 : 1	18.02
R1 - C13 : 10	159.94
R1 - C13 : 11	7.42
R1 - C13 : 12	88.41
R1 - C13 : 13	23.29
R1 - C13 : 14	48.25
R1 - C13 : 15	39.47
R1 - C13 : 16	91.66
R1 - C13 : 2	12.01
R1 - C13 : 3	17.86
R1 - C13 : 4	27.19
R1 - C13 : 5	63.03
R1 - C13 : 6	0.00
R1 - C13 : 7	84.09
R1 - C13 : 8	74.30
R1 - C13 : 9	124.29
R1 - C14 : 1	25.88
R1 - C14 : 10	64.04
R1 - C14 : 11	21.29
R1 - C14 : 12	111.34
R1 - C14 : 13	53.47
R1 - C14 : 14	70.87
R1 - C14 : 15	158.99
R1 - C14 : 16	163.43
R1 - C14 : 2	123.62
R1 - C14 : 3	103.92
R1 - C14 : 4	47.01
R1 - C14 : 5	50.60
R1 - C14 : 6	66.69
R1 - C14 : 7	41.46
R1 - C14 : 8	73.70
R1 - C14 : 9	97.83
R1 - C15 : 1	38.86
R1 - C15 : 10	187.21
R1 - C15 : 11	0.00
R1 - C15 : 12	66.17
R1 - C15 : 13	161.74
R1 - C15 : 14	16.46
R1 - C15 : 15	41.93
R1 - C15 : 16	137.96
R1 - C15 : 2	20.33
R1 - C15 : 3	42.06
R1 - C15 : 4	0.00
R1 - C15 : 5	151.44
R1 - C15 : 6	498.50
R1 - C15 : 7	51.44
R1 - C15 : 8	92.90
R1 - C15 : 9	207.45
R1 - C16 : 1	131.79
R1 - C16 : 10	56.24
R1 - C16 : 11	0.00
R1 - C16 : 12	71.37
R1 - C16 : 13	307.73
R1 - C16 : 14	4.78
R1 - C16 : 15	60.88
R1 - C16 : 16	115.58
R1 - C16 : 2	340.46
R1 - C16 : 3	53.40
R1 - C16 : 4	59.95
R1 - C16 : 5	63.96
R1 - C16 : 6	56.44
R1 - C16 : 7	127.67
R1 - C16 : 8	21.85
R1 - C16 : 9	102.49
R1 - C17 : 1	26.43
R1 - C17 : 10	51.73
R1 - C17 : 11	79.55
R1 - C17 : 12	215.08
R1 - C17 : 13	122.11
R1 - C17 : 14	367.09
R1 - C17 : 15	40.56
R1 - C17 : 16	148.73
R1 - C17 : 2	30.01
R1 - C17 : 3	93.88
R1 - C17 : 4	52.39
R1 - C17 : 5	51.39
R1 - C17 : 6	35.77
R1 - C17 : 7	26.32
R1 - C17 : 8	83.57
R1 - C17 : 9	45.19
R1 - C18 : 1	92.67
R1 - C18 : 10	94.57
R1 - C18 : 11	0.00
R1 - C18 : 12	240.26
R1 - C18 : 13	221.38
R1 - C18 : 14	93.40
R1 - C18 : 15	143.80
R1 - C18 : 16	57.85
R1 - C18 : 2	12.91
R1 - C18 : 3	246.41
R1 - C18 : 4	529.89
R1 - C18 : 5	50.48
R1 - C18 : 6	75.05
R1 - C18 : 7	90.02
R1 - C18 : 8	80.46
R1 - C18 : 9	52.63
R1 - C19 : 1	60.35
R1 - C19 : 10	78.50
R1 - C19 : 11	8.95
R1 - C19 : 12	45.56
R1 - C19 : 13	225.28
R1 - C19 : 14	143.64
R1 - C19 : 15	40.15
R1 - C19 : 16	29.21
R1 - C19 : 2	29.62
R1 - C19 : 3	0.00
R1 - C19 : 4	166.13
R1 - C19 : 5	128.51
R1 - C19 : 6	56.85
R1 - C19 : 7	0.00
R1 - C19 : 8	46.98
R1 - C19 : 9	128.91
R1 - C2 : 1	31.06
R1 - C2 : 10	48.54
R1 - C2 : 11	0.00
R1 - C2 : 12	84.36
R1 - C2 : 13	6.31
R1 - C2 : 14	9.81
R1 - C2 : 15	46.94
R1 - C2 : 16	48.42
R1 - C2 : 2	0.00
R1 - C2 : 3	0.00
R1 - C2 : 4	26.39
R1 - C2 : 5	17.53
R1 - C2 : 6	27.34
R1 - C2 : 7	52.29
R1 - C2 : 8	137.29
R1 - C2 : 9	44.42
R1 - C20 : 1	34.61
R1 - C20 : 10	243.18
R1 - C20 : 11	9.53
R1 - C20 : 12	126.45
R1 - C20 : 13	65.73
R1 - C20 : 14	84.79
R1 - C20 : 15	85.94
R1 - C20 : 16	69.16
R1 - C20 : 2	53.36
R1 - C20 : 3	88.12
R1 - C20 : 4	51.92
R1 - C20 : 5	131.41
R1 - C20 : 6	27.70
R1 - C20 : 7	44.86
R1 - C20 : 8	72.55
R1 - C20 : 9	105.96
R1 - C21 : 1	24.21
R1 - C21 : 10	40.57
R1 - C21 : 11	9.02
R1 - C21 : 12	24.55
R1 - C21 : 13	265.93
R1 - C21 : 14	330.21
R1 - C21 : 15	68.79
R1 - C21 : 16	144.94
R1 - C21 : 2	21.83
R1 - C21 : 3	30.53
R1 - C21 : 4	33.80
R1 - C21 : 5	106.06
R1 - C21 : 6	84.73
R1 - C21 : 7	63.19
R1 - C21 : 8	38.95
R1 - C21 : 9	149.61
R1 - C22 : 1	70.33
R1 - C22 : 10	56.10
R1 - C22 : 11	7.15
R1 - C22 : 12	133.13
R1 - C22 : 13	191.26
R1 - C22 : 14	57.88
R1 - C22 : 15	110.73
R1 - C22 : 16	83.24
R1 - C22 : 2	31.56
R1 - C22 : 3	29.48
R1 - C22 : 4	135.64
R1 - C22 : 5	24.90
R1 - C22 : 6	239.03
R1 - C22 : 7	53.54
R1 - C22 : 8	80.41
R1 - C22 : 9	127.34
R1 - C23 : 1	67.82
R1 - C23 : 10	25.40
R1 - C23 : 11	13.49
R1 - C23 : 12	18.98
R1 - C23 : 13	184.63
R1 - C23 : 14	166.92
R1 - C23 : 15	136.96
R1 - C23 : 16	76.18
R1 - C23 : 2	13.78
R1 - C23 : 3	23.88
R1 - C23 : 4	0.00
R1 - C23 : 5	0.00
R1 - C23 : 6	113.80
R1 - C23 : 7	25.92
R1 - C23 : 8	34.55
R1 - C23 : 9	107.54
R1 - C24 : 1	13.83
R1 - C24 : 10	18.68
R1 - C24 : 11	12.00
R1 - C24 : 12	22.29
R1 - C24 : 13	199.27
R1 - C24 : 14	470.70
R1 - C24 : 15	92.66
R1 - C24 : 16	84.38
R1 - C24 : 2	24.27
R1 - C24 : 3	8.10
R1 - C24 : 4	40.73
R1 - C24 : 5	47.81
R1 - C24 : 6	168.99
R1 - C24 : 7	79.12
R1 - C24 : 8	67.61
R1 - C24 : 9	63.00
R1 - C3 : 1	13.87
R1 - C3 : 10	15.37
R1 - C3 : 11	16.90
R1 - C3 : 12	10.33
R1 - C3 : 13	111.64
R1 - C3 : 14	0.00
R1 - C3 : 15	16.90
R1 - C3 : 16	7.41
R1 - C3 : 2	31.59
R1 - C3 : 3	21.66
R1 - C3 : 4	7.06
R1 - C3 : 5	9.17
R1 - C3 : 6	58.33
R1 - C3 : 7	62.48
R1 - C3 : 8	321.99
R1 - C3 : 9	74.97
R1 - C4 : 1	53.46
R1 - C4 : 10	9.09
R1 - C4 : 11	11.79
R1 - C4 : 12	59.92
R1 - C4 : 13	107.81
R1 - C4 : 14	55.10
R1 - C4 : 15	63.63
R1 - C4 : 16	71.28
R1 - C4 : 2	29.29
R1 - C4 : 3	210.80
R1 - C4 : 4	41.28
R1 - C4 : 5	104.85
