ID_REF	VALUE
R1 - C1 : 1	0.00
R1 - C1 : 10	50.13
R1 - C1 : 11	0.00
R1 - C1 : 12	25.26
R1 - C1 : 13	0.00
R1 - C1 : 14	6.91
R1 - C1 : 15	108.50
R1 - C1 : 16	0.00
R1 - C1 : 2	19.46
R1 - C1 : 3	65.05
R1 - C1 : 4	20.99
R1 - C1 : 5	30.72
R1 - C1 : 6	0.00
R1 - C1 : 7	14.89
R1 - C1 : 8	21.71
R1 - C1 : 9	56.04
R1 - C10 : 1	364.87
R1 - C10 : 10	166.15
R1 - C10 : 11	11.16
R1 - C10 : 12	97.82
R1 - C10 : 13	168.76
R1 - C10 : 14	29.09
R1 - C10 : 15	41.15
R1 - C10 : 16	33.84
R1 - C10 : 2	39.39
R1 - C10 : 3	53.72
R1 - C10 : 4	31.68
R1 - C10 : 5	211.47
R1 - C10 : 6	83.33
R1 - C10 : 7	29.98
R1 - C10 : 8	57.72
R1 - C10 : 9	155.04
R1 - C11 : 1	20.95
R1 - C11 : 10	31.09
R1 - C11 : 11	0.00
R1 - C11 : 12	226.66
R1 - C11 : 13	460.34
R1 - C11 : 14	73.98
R1 - C11 : 15	115.54
R1 - C11 : 16	39.50
R1 - C11 : 2	0.00
R1 - C11 : 3	10.06
R1 - C11 : 4	0.00
R1 - C11 : 5	36.35
R1 - C11 : 6	0.00
R1 - C11 : 7	92.28
R1 - C11 : 8	45.82
R1 - C11 : 9	220.10
R1 - C12 : 1	0.00
R1 - C12 : 10	65.83
R1 - C12 : 11	0.00
R1 - C12 : 12	35.33
R1 - C12 : 13	84.57
R1 - C12 : 14	45.93
R1 - C12 : 15	75.07
R1 - C12 : 16	71.83
R1 - C12 : 2	15.68
R1 - C12 : 3	101.07
R1 - C12 : 4	75.31
R1 - C12 : 5	103.54
R1 - C12 : 6	80.38
R1 - C12 : 7	46.66
R1 - C12 : 8	33.68
R1 - C12 : 9	164.15
R1 - C13 : 1	14.93
R1 - C13 : 10	162.75
R1 - C13 : 11	8.97
R1 - C13 : 12	75.47
R1 - C13 : 13	29.72
R1 - C13 : 14	38.95
R1 - C13 : 15	18.43
R1 - C13 : 16	104.24
R1 - C13 : 2	10.43
R1 - C13 : 3	13.36
R1 - C13 : 4	20.67
R1 - C13 : 5	58.56
R1 - C13 : 6	0.00
R1 - C13 : 7	88.10
R1 - C13 : 8	56.28
R1 - C13 : 9	203.57
R1 - C14 : 1	35.09
R1 - C14 : 10	34.17
R1 - C14 : 11	0.00
R1 - C14 : 12	82.94
R1 - C14 : 13	55.68
R1 - C14 : 14	39.86
R1 - C14 : 15	137.63
R1 - C14 : 16	209.86
R1 - C14 : 2	80.80
R1 - C14 : 3	68.54
R1 - C14 : 4	25.08
R1 - C14 : 5	58.20
R1 - C14 : 6	22.29
R1 - C14 : 7	44.34
R1 - C14 : 8	41.06
R1 - C14 : 9	166.45
R1 - C15 : 1	32.08
R1 - C15 : 10	68.20
R1 - C15 : 11	0.00
R1 - C15 : 12	45.40
R1 - C15 : 13	163.04
R1 - C15 : 14	9.85
R1 - C15 : 15	41.90
R1 - C15 : 16	114.01
R1 - C15 : 2	9.81
R1 - C15 : 3	26.76
R1 - C15 : 4	0.00
R1 - C15 : 5	115.95
R1 - C15 : 6	216.60
R1 - C15 : 7	61.05
R1 - C15 : 8	89.08
R1 - C15 : 9	244.16
R1 - C16 : 1	108.30
R1 - C16 : 10	45.51
R1 - C16 : 11	0.00
R1 - C16 : 12	137.99
R1 - C16 : 13	214.41
R1 - C16 : 14	0.00
R1 - C16 : 15	56.13
R1 - C16 : 16	113.56
R1 - C16 : 2	253.32
R1 - C16 : 3	75.61
R1 - C16 : 4	21.01
R1 - C16 : 5	40.57
R1 - C16 : 6	38.01
R1 - C16 : 7	154.91
R1 - C16 : 8	25.95
R1 - C16 : 9	200.53
R1 - C17 : 1	48.67
R1 - C17 : 10	29.10
R1 - C17 : 11	111.37
R1 - C17 : 12	225.87
R1 - C17 : 13	118.96
R1 - C17 : 14	246.86
R1 - C17 : 15	21.32
R1 - C17 : 16	119.05
R1 - C17 : 2	43.06
R1 - C17 : 3	63.50
R1 - C17 : 4	23.26
R1 - C17 : 5	44.57
R1 - C17 : 6	18.98
R1 - C17 : 7	29.41
R1 - C17 : 8	53.32
R1 - C17 : 9	34.01
R1 - C18 : 1	124.10
R1 - C18 : 10	49.01
R1 - C18 : 11	0.00
R1 - C18 : 12	240.56
R1 - C18 : 13	172.48
R1 - C18 : 14	110.39
R1 - C18 : 15	83.41
R1 - C18 : 16	53.27
R1 - C18 : 2	16.02
R1 - C18 : 3	157.28
R1 - C18 : 4	251.35
R1 - C18 : 5	51.69
R1 - C18 : 6	58.82
R1 - C18 : 7	154.02
R1 - C18 : 8	46.80
R1 - C18 : 9	91.50
R1 - C19 : 1	25.42
R1 - C19 : 10	32.23
R1 - C19 : 11	9.18
R1 - C19 : 12	34.43
R1 - C19 : 13	124.62
R1 - C19 : 14	103.65
R1 - C19 : 15	23.55
R1 - C19 : 16	20.96
R1 - C19 : 2	28.41
R1 - C19 : 3	0.00
R1 - C19 : 4	102.02
R1 - C19 : 5	113.59
R1 - C19 : 6	27.87
R1 - C19 : 7	0.00
R1 - C19 : 8	41.48
R1 - C19 : 9	89.40
R1 - C2 : 1	83.61
R1 - C2 : 10	92.39
R1 - C2 : 11	0.00
R1 - C2 : 12	109.69
R1 - C2 : 13	42.69
R1 - C2 : 14	8.32
R1 - C2 : 15	82.90
R1 - C2 : 16	55.25
R1 - C2 : 2	0.00
R1 - C2 : 3	0.00
R1 - C2 : 4	23.85
R1 - C2 : 5	22.40
R1 - C2 : 6	36.53
R1 - C2 : 7	66.35
R1 - C2 : 8	227.40
R1 - C2 : 9	210.44
R1 - C20 : 1	19.51
R1 - C20 : 10	131.32
R1 - C20 : 11	11.35
R1 - C20 : 12	122.36
R1 - C20 : 13	51.67
R1 - C20 : 14	107.43
R1 - C20 : 15	74.84
R1 - C20 : 16	78.96
R1 - C20 : 2	74.77
R1 - C20 : 3	58.25
R1 - C20 : 4	40.34
R1 - C20 : 5	152.69
R1 - C20 : 6	20.01
R1 - C20 : 7	42.27
R1 - C20 : 8	44.12
R1 - C20 : 9	150.53
R1 - C21 : 1	15.75
R1 - C21 : 10	48.75
R1 - C21 : 11	16.52
R1 - C21 : 12	27.50
R1 - C21 : 13	193.67
R1 - C21 : 14	302.26
R1 - C21 : 15	57.24
R1 - C21 : 16	139.30
R1 - C21 : 2	27.80
R1 - C21 : 3	22.98
R1 - C21 : 4	24.83
R1 - C21 : 5	132.44
R1 - C21 : 6	47.48
R1 - C21 : 7	91.21
R1 - C21 : 8	47.74
R1 - C21 : 9	179.54
R1 - C22 : 1	98.70
R1 - C22 : 10	47.77
R1 - C22 : 11	0.00
R1 - C22 : 12	195.53
R1 - C22 : 13	182.66
R1 - C22 : 14	101.20
R1 - C22 : 15	82.14
R1 - C22 : 16	79.22
R1 - C22 : 2	33.85
R1 - C22 : 3	19.57
R1 - C22 : 4	98.62
R1 - C22 : 5	31.81
R1 - C22 : 6	126.74
R1 - C22 : 7	45.55
R1 - C22 : 8	58.66
R1 - C22 : 9	197.22
R1 - C23 : 1	57.62
R1 - C23 : 10	21.25
R1 - C23 : 11	13.81
R1 - C23 : 12	22.50
R1 - C23 : 13	156.54
R1 - C23 : 14	154.60
R1 - C23 : 15	73.71
R1 - C23 : 16	42.43
R1 - C23 : 2	15.31
R1 - C23 : 3	24.93
R1 - C23 : 4	0.00
R1 - C23 : 5	0.00
R1 - C23 : 6	79.11
R1 - C23 : 7	38.50
R1 - C23 : 8	50.00
R1 - C23 : 9	152.34
R1 - C24 : 1	12.41
R1 - C24 : 10	17.55
R1 - C24 : 11	11.21
R1 - C24 : 12	32.35
R1 - C24 : 13	216.48
R1 - C24 : 14	344.98
R1 - C24 : 15	90.24
R1 - C24 : 16	92.80
R1 - C24 : 2	34.00
R1 - C24 : 3	8.01
R1 - C24 : 4	22.12
R1 - C24 : 5	32.88
R1 - C24 : 6	139.57
R1 - C24 : 7	93.66
R1 - C24 : 8	86.32
R1 - C24 : 9	93.02
R1 - C3 : 1	30.82
R1 - C3 : 10	20.07
R1 - C3 : 11	26.45
R1 - C3 : 12	14.76
R1 - C3 : 13	191.81
R1 - C3 : 14	0.00
R1 - C3 : 15	16.82
R1 - C3 : 16	11.22
R1 - C3 : 2	45.90
R1 - C3 : 3	23.64
R1 - C3 : 4	0.00
R1 - C3 : 5	27.52
R1 - C3 : 6	101.92
R1 - C3 : 7	85.81
R1 - C3 : 8	271.91
R1 - C3 : 9	74.95
R1 - C4 : 1	109.79
R1 - C4 : 10	11.55
R1 - C4 : 11	16.03
R1 - C4 : 12	68.24
R1 - C4 : 13	291.27
R1 - C4 : 14	48.44
R1 - C4 : 15	67.17
R1 - C4 : 16	90.60
R1 - C4 : 2	28.46
R1 - C4 : 3	74.19
R1 - C4 : 4	23.68
R1 - C4 : 5	152.78
R1 - C4 : 6	17.28
R1 - C4 : 7	34.03
R1 - C4 : 8	102.75
R1 - C4 : 9	30.31
R1 - C5 : 1	22.38
R1 - C5 : 10	54.13
R1 - C5 : 11	77.75
R1 - C5 : 12	114.68
R1 - C5 : 13	279.64
R1 - C5 : 14	67.97
R1 - C5 : 15	141.53
R1 - C5 : 16	63.83
R1 - C5 : 2	19.65
R1 - C5 : 3	0.00
R1 - C5 : 4	8.06
R1 - C5 : 5	18.94
R1 - C5 : 6	133.83
R1 - C5 : 7	54.42
R1 - C5 : 8	306.90
R1 - C5 : 9	111.37
R1 - C6 : 1	90.61
R1 - C6 : 10	12.34
R1 - C6 : 11	117.66
R1 - C6 : 12	189.60
R1 - C6 : 13	91.88
R1 - C6 : 14	86.32
R1 - C6 : 15	14.72
R1 - C6 : 16	159.06
R1 - C6 : 2	32.09
R1 - C6 : 3	81.65
R1 - C6 : 4	44.35
R1 - C6 : 5	36.62
R1 - C6 : 6	120.95
R1 - C6 : 7	35.23
R1 - C6 : 8	141.49
R1 - C6 : 9	146.76
R1 - C7 : 1	69.63
R1 - C7 : 10	16.16
R1 - C7 : 11	11.98
R1 - C7 : 12	14.79
R1 - C7 : 13	211.18
R1 - C7 : 14	136.40
R1 - C7 : 15	161.77
R1 - C7 : 16	0.00
R1 - C7 : 2	12.11
R1 - C7 : 3	19.97
R1 - C7 : 4	0.00
R1 - C7 : 5	54.36
R1 - C7 : 6	19.52
R1 - C7 : 7	46.48
R1 - C7 : 8	68.04
R1 - C7 : 9	40.71
R1 - C8 : 1	131.37
R1 - C8 : 10	5.05
R1 - C8 : 11	29.46
R1 - C8 : 12	74.30
R1 - C8 : 13	796.55
R1 - C8 : 14	174.10
R1 - C8 : 15	174.11
R1 - C8 : 16	59.82
R1 - C8 : 2	18.65
R1 - C8 : 3	199.89
R1 - C8 : 4	40.57
R1 - C8 : 5	82.62
R1 - C8 : 6	136.73
R1 - C8 : 7	30.98
R1 - C8 : 8	250.70
R1 - C8 : 9	149.77
R1 - C9 : 1	12.89
R1 - C9 : 10	33.44
R1 - C9 : 11	18.90
R1 - C9 : 12	48.86
R1 - C9 : 13	206.70
R1 - C9 : 14	75.43
R1 - C9 : 15	66.63
R1 - C9 : 16	92.04
R1 - C9 : 2	84.39
R1 - C9 : 3	81.50
R1 - C9 : 4	43.75
R1 - C9 : 5	0.00
R1 - C9 : 6	132.04
R1 - C9 : 7	47.32
R1 - C9 : 8	156.81
R1 - C9 : 9	118.39
