ID_REF	VALUE
R1 - C1 : 1	0.00
R1 - C1 : 10	36.00
R1 - C1 : 11	0.00
R1 - C1 : 12	21.24
R1 - C1 : 13	0.00
R1 - C1 : 14	4.11
R1 - C1 : 15	30.50
R1 - C1 : 16	0.00
R1 - C1 : 2	5.38
R1 - C1 : 3	24.09
R1 - C1 : 4	14.13
R1 - C1 : 5	11.60
R1 - C1 : 6	0.00
R1 - C1 : 7	5.87
R1 - C1 : 8	2.99
R1 - C1 : 9	18.56
R1 - C10 : 1	241.56
R1 - C10 : 10	75.05
R1 - C10 : 11	12.16
R1 - C10 : 12	52.11
R1 - C10 : 13	102.95
R1 - C10 : 14	50.84
R1 - C10 : 15	70.63
R1 - C10 : 16	25.33
R1 - C10 : 2	66.93
R1 - C10 : 3	33.89
R1 - C10 : 4	24.81
R1 - C10 : 5	135.88
R1 - C10 : 6	111.12
R1 - C10 : 7	6.14
R1 - C10 : 8	84.65
R1 - C10 : 9	66.51
R1 - C11 : 1	36.91
R1 - C11 : 10	21.42
R1 - C11 : 11	4.95
R1 - C11 : 12	156.19
R1 - C11 : 13	212.22
R1 - C11 : 14	90.30
R1 - C11 : 15	133.79
R1 - C11 : 16	28.25
R1 - C11 : 2	4.77
R1 - C11 : 3	13.36
R1 - C11 : 4	3.14
R1 - C11 : 5	25.15
R1 - C11 : 6	0.00
R1 - C11 : 7	303.23
R1 - C11 : 8	48.17
R1 - C11 : 9	129.08
R1 - C12 : 1	3.84
R1 - C12 : 10	38.48
R1 - C12 : 11	0.00
R1 - C12 : 12	22.98
R1 - C12 : 13	59.54
R1 - C12 : 14	22.23
R1 - C12 : 15	67.02
R1 - C12 : 16	47.38
R1 - C12 : 2	26.98
R1 - C12 : 3	158.78
R1 - C12 : 4	135.04
R1 - C12 : 5	131.80
R1 - C12 : 6	107.92
R1 - C12 : 7	52.19
R1 - C12 : 8	57.15
R1 - C12 : 9	85.52
R1 - C13 : 1	13.90
R1 - C13 : 10	106.31
R1 - C13 : 11	4.49
R1 - C13 : 12	54.79
R1 - C13 : 13	19.39
R1 - C13 : 14	40.99
R1 - C13 : 15	33.45
R1 - C13 : 16	80.55
R1 - C13 : 2	11.27
R1 - C13 : 3	18.04
R1 - C13 : 4	18.35
R1 - C13 : 5	62.86
R1 - C13 : 6	0.00
R1 - C13 : 7	66.36
R1 - C13 : 8	29.11
R1 - C13 : 9	71.74
R1 - C14 : 1	41.17
R1 - C14 : 10	23.43
R1 - C14 : 11	12.81
R1 - C14 : 12	98.75
R1 - C14 : 13	50.52
R1 - C14 : 14	53.00
R1 - C14 : 15	142.70
R1 - C14 : 16	79.43
R1 - C14 : 2	98.76
R1 - C14 : 3	95.16
R1 - C14 : 4	38.05
R1 - C14 : 5	25.91
R1 - C14 : 6	34.80
R1 - C14 : 7	25.10
R1 - C14 : 8	48.77
R1 - C14 : 9	60.76
R1 - C15 : 1	28.36
R1 - C15 : 10	115.53
R1 - C15 : 11	0.00
R1 - C15 : 12	60.49
R1 - C15 : 13	120.72
R1 - C15 : 14	7.58
R1 - C15 : 15	25.64
R1 - C15 : 16	55.97
R1 - C15 : 2	9.75
R1 - C15 : 3	44.43
R1 - C15 : 4	0.00
R1 - C15 : 5	144.84
R1 - C15 : 6	304.52
R1 - C15 : 7	55.70
R1 - C15 : 8	82.12
R1 - C15 : 9	153.36
R1 - C16 : 1	135.69
R1 - C16 : 10	25.67
R1 - C16 : 11	0.00
R1 - C16 : 12	128.40
R1 - C16 : 13	169.17
R1 - C16 : 14	0.00
R1 - C16 : 15	47.71
R1 - C16 : 16	85.22
R1 - C16 : 2	187.00
R1 - C16 : 3	41.39
R1 - C16 : 4	54.90
R1 - C16 : 5	58.68
R1 - C16 : 6	104.19
R1 - C16 : 7	50.10
R1 - C16 : 8	14.10
R1 - C16 : 9	59.19
R1 - C17 : 1	13.62
R1 - C17 : 10	52.64
R1 - C17 : 11	42.63
R1 - C17 : 12	161.98
R1 - C17 : 13	119.27
R1 - C17 : 14	186.92
R1 - C17 : 15	20.04
R1 - C17 : 16	103.45
R1 - C17 : 2	20.20
R1 - C17 : 3	62.71
R1 - C17 : 4	24.99
R1 - C17 : 5	44.44
R1 - C17 : 6	43.85
R1 - C17 : 7	16.97
R1 - C17 : 8	65.94
R1 - C17 : 9	38.69
R1 - C18 : 1	57.21
R1 - C18 : 10	155.86
R1 - C18 : 11	0.00
R1 - C18 : 12	167.83
R1 - C18 : 13	188.57
R1 - C18 : 14	71.47
R1 - C18 : 15	41.04
R1 - C18 : 16	25.70
R1 - C18 : 2	11.03
R1 - C18 : 3	163.03
R1 - C18 : 4	357.41
R1 - C18 : 5	62.45
R1 - C18 : 6	43.87
R1 - C18 : 7	180.12
R1 - C18 : 8	67.14
R1 - C18 : 9	51.36
R1 - C19 : 1	48.76
R1 - C19 : 10	44.28
R1 - C19 : 11	5.71
R1 - C19 : 12	36.12
R1 - C19 : 13	176.77
R1 - C19 : 14	133.58
R1 - C19 : 15	18.06
