ID_REF	VALUE
R1 - C1 : 1	0
R1 - C1 : 10	0.315365087
R1 - C1 : 11	0.082337392
R1 - C1 : 12	0.226179248
R1 - C1 : 13	0.219751143
R1 - C1 : 14	0.641644652
R1 - C1 : 15	1.014393165
R1 - C1 : 16	0
R1 - C1 : 2	0.180712492
R1 - C1 : 3	0.219524179
R1 - C1 : 4	0.137190276
R1 - C1 : 5	0.290922502
R1 - C1 : 6	0.021361653
R1 - C1 : 7	0.123984884
R1 - C1 : 8	0.030900636
R1 - C1 : 9	1.043292779
R1 - C10 : 1	1.916380632
R1 - C10 : 10	0.749100355
R1 - C10 : 11	0.074869267
R1 - C10 : 12	0.203636036
R1 - C10 : 13	0.344019766
R1 - C10 : 14	0.169124908
R1 - C10 : 15	0.125024274
R1 - C10 : 16	0.174215002
R1 - C10 : 2	0.336169771
R1 - C10 : 3	0.133040166
R1 - C10 : 4	0.099737841
R1 - C10 : 5	0.736462004
R1 - C10 : 6	0.249471453
R1 - C10 : 7	0.096767789
R1 - C10 : 8	0.210534372
R1 - C10 : 9	0.310069575
R1 - C11 : 1	0.322846675
R1 - C11 : 10	0.129080573
R1 - C11 : 11	0.032070196
R1 - C11 : 12	0.470774864
R1 - C11 : 13	0.592392846
R1 - C11 : 14	0.252560779
R1 - C11 : 15	0.191731482
R1 - C11 : 16	0.212263748
R1 - C11 : 2	0.054404679
R1 - C11 : 3	0.124694022
R1 - C11 : 4	0.018189446
R1 - C11 : 5	0.125877347
R1 - C11 : 6	0.070587274
R1 - C11 : 7	0.362246217
R1 - C11 : 8	0.043772827
R1 - C11 : 9	0.381933401
R1 - C12 : 1	0.089610359
R1 - C12 : 10	0.16602233
R1 - C12 : 11	0.047979698
R1 - C12 : 12	0.134190644
R1 - C12 : 13	0.112394533
R1 - C12 : 14	0.122190232
R1 - C12 : 15	0.132394172
R1 - C12 : 16	0.234051619
R1 - C12 : 2	0.06480342
R1 - C12 : 3	0.335139544
R1 - C12 : 4	0.36873507
R1 - C12 : 5	0.553045871
R1 - C12 : 6	0.188156935
R1 - C12 : 7	0.314460093
R1 - C12 : 8	0.079327627
R1 - C12 : 9	0.203210069
R1 - C13 : 1	0.167336564
R1 - C13 : 10	0.742934308
R1 - C13 : 11	0.145135728
R1 - C13 : 12	0.415690282
R1 - C13 : 13	0.128794965
R1 - C13 : 14	0.082133169
R1 - C13 : 15	0.064388207
R1 - C13 : 16	0.408611123
R1 - C13 : 2	0.216731471
R1 - C13 : 3	0.215208561
R1 - C13 : 4	0.155501688
R1 - C13 : 5	0.318455984
R1 - C13 : 6	0
R1 - C13 : 7	0.359016631
R1 - C13 : 8	0.105222573
R1 - C13 : 9	0.144542796
R1 - C14 : 1	0.150158645
R1 - C14 : 10	0.170523468
R1 - C14 : 11	0
R1 - C14 : 12	1.35935567
R1 - C14 : 13	0.082909557
R1 - C14 : 14	0.462974746
R1 - C14 : 15	0.231947642
R1 - C14 : 16	0.19330591
R1 - C14 : 2	0.526858893
R1 - C14 : 3	0.240548535
R1 - C14 : 4	0.166357288
R1 - C14 : 5	0.211069384
R1 - C14 : 6	0.146940274
R1 - C14 : 7	0.189645159
R1 - C14 : 8	0.196123981
R1 - C14 : 9	0.113652858
R1 - C15 : 1	0.352093434
R1 - C15 : 10	0.726969
R1 - C15 : 11	0
R1 - C15 : 12	0.171365104
R1 - C15 : 13	0.269934506
R1 - C15 : 14	0.032187516
R1 - C15 : 15	0.186620922
R1 - C15 : 16	0.205835138
R1 - C15 : 2	0.301204368
R1 - C15 : 3	0.298093498
R1 - C15 : 4	0.003152471
R1 - C15 : 5	0.592868052
R1 - C15 : 6	0.953662187
R1 - C15 : 7	0.533801263
R1 - C15 : 8	0.295813405
R1 - C15 : 9	0.277542696
R1 - C16 : 1	1.253966385
R1 - C16 : 10	0.361583115
R1 - C16 : 11	0.041751976
R1 - C16 : 12	0.62814005
R1 - C16 : 13	0.393903578
R1 - C16 : 14	0
R1 - C16 : 15	0.122306732
R1 - C16 : 16	0.232519744
R1 - C16 : 2	0.70328316
R1 - C16 : 3	0.236270304
R1 - C16 : 4	0.126760367
R1 - C16 : 5	0.42851969
R1 - C16 : 6	0.197308737
R1 - C16 : 7	0.381520387
R1 - C16 : 8	0.064584902
R1 - C16 : 9	0.124607005
R1 - C17 : 1	0.473827825
R1 - C17 : 10	0.370172413
R1 - C17 : 11	1.022983081
R1 - C17 : 12	1.174226738
R1 - C17 : 13	0.155857513
R1 - C17 : 14	0.529412503
R1 - C17 : 15	0.147075011
R1 - C17 : 16	0.59722167
R1 - C17 : 2	0.374901967
R1 - C17 : 3	0.402743769
R1 - C17 : 4	0.123745918
R1 - C17 : 5	0.265179462
R1 - C17 : 6	0.174632035
R1 - C17 : 7	0.063690482
R1 - C17 : 8	0.218743751
R1 - C17 : 9	0.058524336
R1 - C18 : 1	0.738755502
R1 - C18 : 10	0.39138101
R1 - C18 : 11	0.023651196
R1 - C18 : 12	1.007395167
R1 - C18 : 13	0.337226603
R1 - C18 : 14	0.340315624
R1 - C18 : 15	0.186984497
R1 - C18 : 16	0.148185568
R1 - C18 : 2	0.019637159
R1 - C18 : 3	0.472888621
R1 - C18 : 4	2.86576125
R1 - C18 : 5	0.788202764
R1 - C18 : 6	0.237233226
R1 - C18 : 7	0.312071074
R1 - C18 : 8	0.188399399
R1 - C18 : 9	0.108204704
R1 - C19 : 1	0.384662632
R1 - C19 : 10	0.241893924
R1 - C19 : 11	0.156611144
R1 - C19 : 12	0.214297513
R1 - C19 : 13	0.224392253
R1 - C19 : 14	0.246017969
R1 - C19 : 15	0.389871724
R1 - C19 : 16	0.075846029
R1 - C19 : 2	0.257303756
R1 - C19 : 3	0
R1 - C19 : 4	0.245800255
R1 - C19 : 5	0.697238506
R1 - C19 : 6	0.111642176
R1 - C19 : 7	0
R1 - C19 : 8	0.050366085
R1 - C19 : 9	0.244519912
R1 - C2 : 1	0.43778985
R1 - C2 : 10	0.800207541
R1 - C2 : 11	0.092712634
R1 - C2 : 12	0.612231331
R1 - C2 : 13	0.11994418
R1 - C2 : 14	0.222487604
R1 - C2 : 15	0.231609101
R1 - C2 : 16	0.277463072
R1 - C2 : 2	0
R1 - C2 : 3	0.007789857
R1 - C2 : 4	0.218888552
R1 - C2 : 5	0.138358523
R1 - C2 : 6	0.238132961
R1 - C2 : 7	0.452095845
R1 - C2 : 8	0.84644006
R1 - C2 : 9	0.179356181
R1 - C20 : 1	0.111426296
R1 - C20 : 10	0.33755323
R1 - C20 : 11	0
R1 - C20 : 12	0.31241837
R1 - C20 : 13	0.066880641
R1 - C20 : 14	0.506994209
R1 - C20 : 15	0.192335086
R1 - C20 : 16	0.190518879
R1 - C20 : 2	0.275865072
R1 - C20 : 3	0.327056127
R1 - C20 : 4	0.171208691
R1 - C20 : 5	0.017161341
R1 - C20 : 6	0.069045276
R1 - C20 : 7	0.48767288
R1 - C20 : 8	0.169438498
R1 - C20 : 9	0.249798525
R1 - C21 : 1	0.203060679
R1 - C21 : 10	0.28455365
R1 - C21 : 11	0.155561028
R1 - C21 : 12	0.129432348
R1 - C21 : 13	0.175298867
R1 - C21 : 14	0.389061599
R1 - C21 : 15	0.335996223
R1 - C21 : 16	0.469573421
R1 - C21 : 2	0.220292089
R1 - C21 : 3	0.198834077
R1 - C21 : 4	0.146936315
R1 - C21 : 5	0.406173445
R1 - C21 : 6	0.146967947
R1 - C21 : 7	0.205014161
R1 - C21 : 8	0.105556406
R1 - C21 : 9	0.324142299
R1 - C22 : 1	0.146467148
R1 - C22 : 10	0.592643861
R1 - C22 : 11	0.122168382
R1 - C22 : 12	0.28310825
R1 - C22 : 13	0.352921886
R1 - C22 : 14	0.054569352
R1 - C22 : 15	0.115505549
