ORF name,TR change ranking,HL change ranking,responsiveness
YAL037C-B,5,5,10
YBL039C,5,5,10
YBR013C,5,5,10
YBR034C,5,5,10
YBR142W,5,5,10
YBR158W,5,5,10
YBR177C,5,5,10
YBR178W,5,5,10
YCR020W-B,5,5,10
YCR039C,5,5,10
YCR053W,5,5,10
YCR096C,5,5,10
YDL055C,5,5,10
YDL061C,5,5,10
YDL081C,5,5,10
YDL083C,5,5,10
YDR012W,5,5,10
YDR152W,5,5,10
YDR212W,5,5,10
YDR382W,5,5,10
YDR444W,5,5,10
YDR471W,5,5,10
YER002W,5,5,10
YER003C,5,5,10
YER043C,5,5,10
YER070W,5,5,10
YER081W,5,5,10
YER117W,5,5,10
YFL010W-A,5,5,10
YGL094C,5,5,10
YGL097W,5,5,10
YGL103W,5,5,10
YGL135W,5,5,10
YGL147C,5,5,10
YGL207W,5,5,10
YGR109C,5,5,10
YGR159C,5,5,10
YGR245C,5,5,10
YGR280C,5,5,10
YHR020W,5,5,10
YHR042W,5,5,10
YHR053C,5,5,10
YHR084W,5,5,10
YHR170W,5,5,10
YHR179W,5,5,10
YIL053W,5,5,10
YIL082W,5,5,10
YJL050W,5,5,10
YJL186W,5,5,10
YJL189W,5,5,10
YJL190C,5,5,10
YJR004C,5,5,10
YJR007W,5,5,10
YJR029W,5,5,10
YJR041C,5,5,10
YJR067C,5,5,10
YJR072C,5,5,10
YJR145C,5,5,10
YJR148W,5,5,10
YKL078W,5,5,10
YKL120W,5,5,10
YKL156W,5,5,10
YKR026C,5,5,10
YKR081C,5,5,10
YLL018C,5,5,10
YLL024C,5,5,10
YLR051C,5,5,10
YLR075W,5,5,10
YLR110C,5,5,10
YLR180W,5,5,10
YLR217W,5,5,10
YLR295C,5,5,10
YLR339C,5,5,10
YLR372W,5,5,10
YLR399C,5,5,10
YLR448W,5,5,10
YLR449W,5,5,10
YML060W,5,5,10
YML125C,5,5,10
YMR003W,5,5,10
YMR014W,5,5,10
YMR076C,5,5,10
YMR079W,5,5,10
YMR128W,5,5,10
YMR142C,5,5,10
YMR186W,5,5,10
YMR217W,5,5,10
YMR260C,5,5,10
YMR286W,5,5,10
YNL067W,5,5,10
YNL124W,5,5,10
YNL178W,5,5,10
YNL225C,5,5,10
YNL247W,5,5,10
YNL301C,5,5,10
YNR012W,5,5,10
YNR021W,5,5,10
YOL076W,5,5,10
YOL165C,5,5,10
YOR007C,5,5,10
YOR015W,5,5,10
YOR101W,5,5,10
YOR224C,5,5,10
YOR261C,5,5,10
YOR312C,5,5,10
YOR355W,5,5,10
YOR369C,5,5,10
YPL187W,5,5,10
YPL198W,5,5,10
YPL210C,5,5,10
YPR088C,5,5,10
YPR163C,5,5,10
YAL038W,4,5,9
YAL062W,4,5,9
YAR008W,5,4,9
YBL020W,4,5,9
YBL045C,5,4,9
YBL088C,4,5,9
YBL099W,4,5,9
YBR010W,5,4,9
YBR025C,4,5,9
YBR058C-A,5,4,9
YBR078W,5,4,9
YBR079C,4,5,9
YBR084C-A,4,5,9
YBR084W,4,5,9
YBR092C,5,4,9
YBR106W,4,5,9
YBR111C,4,5,9
YBR127C,4,5,9
YBR181C,4,5,9
YBR252W,5,4,9
YCL009C,5,4,9
YCL046W,5,4,9
YCL050C,5,4,9
YCL056C,5,4,9
YCL064C,5,4,9
YCR002C,5,4,9
YCR008W,5,4,9
YCR020C-A,5,4,9
YCR024C-A,5,4,9
YCR034W,5,4,9
YCR057C,5,4,9
YCR069W,5,4,9
YCR082W,5,4,9
YCR084C,5,4,9
YCR086W,5,4,9
YDL006W,5,4,9
YDL060W,5,4,9
YDL062W,5,4,9
YDL075W,5,4,9
YDL086W,4,5,9
YDL182W,5,4,9
YDR021W,5,4,9
YDR045C,4,5,9
YDR071C,4,5,9
YDR097C,4,5,9
YDR133C,5,4,9
YDR194C,5,4,9
YDR225W,4,5,9
YDR248C,5,4,9
YDR279W,4,5,9
YDR346C,4,5,9
YDR359C,4,5,9
YDR417C,5,4,9
YDR418W,4,5,9
YDR429C,4,5,9
YDR459C,5,4,9
YEL015W,5,4,9
YEL017W,4,5,9
YEL020W-A,4,5,9
YEL034C-A,4,5,9
YER112W,5,4,9
YER115C,4,5,9
YFL045C,5,4,9
YFR002W,4,5,9
YFR005C,5,4,9
YFR037C,5,4,9
YFR052W,4,5,9
YFR055W,5,4,9
YGL030W,5,4,9
YGL123W,5,4,9
YGL213C,4,5,9
YGR075C,5,4,9
YGR079W,5,4,9
YGR091W,4,5,9
YGR180C,4,5,9
YGR240C,5,4,9
YHL014C,4,5,9
YHL034C,4,5,9
YHR021C,4,5,9
YHR037W,5,4,9
YHR066W,5,4,9
YHR196W,5,4,9
YIL018W,5,4,9
YIL026C,4,5,9
YIL039W,4,5,9
YIL052C,5,4,9
YIL079C,5,4,9
YIL126W,4,5,9
YIL148W,5,4,9
YJL044C,5,4,9
YJL081C,5,4,9
YJL138C,5,4,9
YJL148W,5,4,9
YJL173C,4,5,9
YJL205C-A,4,5,9
YJR027W,4,5,9
YJR070C,5,4,9
YJR088C,4,5,9
YJR143C,4,5,9
YKL006W,5,4,9
YKL021C,5,4,9
YKL046C,5,4,9
YKL054C,4,5,9
YKL063C,4,5,9
YKL068W,4,5,9
YKL152C,5,4,9
YKL166C,4,5,9
YKL182W,5,4,9
YKR072C,4,5,9
YKR092C,5,4,9
YLL012W,4,5,9
YLL045C,5,4,9
YLR003C,5,4,9
YLR022C,5,4,9
YLR048W,5,4,9
YLR106C,4,5,9
YLR109W,4,5,9
YLR179C,4,5,9
YLR212C,4,5,9
YLR214W,5,4,9
YLR265C,5,4,9
YLR277C,4,5,9
YLR311C,4,5,9
YLR340W,4,5,9
YLR413W,5,4,9
YLR432W,5,4,9
YML024W,4,5,9
YML028W,4,5,9
YML063W,4,5,9
YML107C,5,4,9
YMR019W,4,5,9
YMR048W,5,4,9
YMR075W,4,5,9
YMR146C,5,4,9
YMR202W,4,5,9
YMR216C,5,4,9
YMR242C,4,5,9
YMR246W,5,4,9
YMR303C,5,4,9
YMR307W,5,4,9
YNL004W,4,5,9
YNL005C,4,5,9
YNL014W,4,5,9
YNL051W,5,4,9
YNL132W,4,5,9
YNL175C,4,5,9
YNL190W,5,4,9
YNL199C,5,4,9
YNL206C,4,5,9
YNL219C,4,5,9
YNL235C,4,5,9
YNL244C,5,4,9
YNL255C,5,4,9
YNL327W,5,4,9
YNR050C,4,5,9
YOL086C,5,4,9
YOR004W,5,4,9
YOR008C,4,5,9
YOR027W,4,5,9
YOR073W,4,5,9
YOR118W,5,4,9
YOR133W,4,5,9
YOR149C,4,5,9
YOR182C,4,5,9
YOR206W,5,4,9
