ID chr strand start end type name commonName endConfidence source
ST0001 1 + 9369 9601 SUTs SUT001 SUT001 bothEndsMapped Manual
ST0010 1 + 43441 45329 SUTs SUT002 SUT002 bothEndsMapped Manual
ST0016 1 + 68719 69487 SUTs SUT003 SUT003 bothEndsMapped Manual
ST0047 1 + 198775 199895 SUTs SUT004 SUT004 bothEndsMapped Manual
ST0054 2 + 46785 47129 SUTs SUT005 SUT005 bothEndsMapped Manual
ST0081 2 + 164471 165007 SUTs SUT006 SUT006 bothEndsMapped Manual
ST0091 2 + 196311 196735 SUTs SUT007 SUT007 bothEndsMapped Manual
ST0101 2 + 238400 238896 SUTs SUT008 SUT008 bothEndsMapped Manual
ST0102 2 + 241688 242792 SUTs SUT009 SUT009 mapped5 Manual
ST0106 2 + 251616 252104 SUTs SUT010 SUT010 bothEndsMapped Manual
ST0107 2 + 254640 254872 SUTs SUT011 SUT011 bothEndsMapped Manual
ST0110 2 + 269792 270208 SUTs SUT012 SUT012 mapped5 Manual
ST0112 2 + 276760 278816 SUTs SUT013 SUT013 bothEndsMapped Manual
ST0138 2 + 362864 364592 SUTs SUT014 SUT014 bothEndsMapped Manual
ST0141 2 + 370543 370871 SUTs SUT015 SUT015 bothEndsMapped Manual
ST0142 2 + 371271 373727 SUTs SUT016 SUT016 bothEndsMapped Manual
ST0164 2 + 453551 454695 SUTs SUT017 SUT017 bothEndsMapped Manual
ST0169 2 + 474280 476888 SUTs SUT018 SUT018 bothEndsMapped Manual
ST0182 2 + 532512 533192 SUTs SUT019 SUT019 bothEndsMapped Manual
ST0191 2 + 553472 556200 SUTs SUT020 SUT020 bothEndsMapped Manual
ST0237 2 + 697840 698440 SUTs SUT021 SUT021 bothEndsMapped Manual
ST0256 2 + 741824 742000 SUTs SUT022 SUT022 bothEndsMapped Manual
ST0269 2 + 785448 786472 SUTs SUT023 SUT023 bothEndsMapped Manual
ST0272 2 + 798992 800424 SUTs SUT024 SUT024 bothEndsMapped Manual
ST0281 3 + 39569 41313 SUTs SUT025 SUT025 bothEndsMapped Manual
ST0283 3 + 50409 50793 SUTs SUT026 SUT026 mapped5 Manual
ST0295 3 + 106258 106402 SUTs SUT027 SUT027 bothEndsMapped Manual
ST0300 3 + 114562 115010 SUTs SUT028 SUT028 bothEndsMapped Manual
ST0301 3 + 116394 117306 SUTs SUT029 SUT029 bothEndsMapped Manual
ST0304 3 + 123306 124066 SUTs SUT030 SUT030 bothEndsMapped Manual
ST0305 3 + 125242 126026 SUTs SUT031 SUT031 bothEndsMapped Manual
ST0314 3 + 157722 159258 SUTs SUT032 SUT032 bothEndsMapped Manual
ST0316 3 + 173642 175706 SUTs SUT033 SUT033 bothEndsMapped Manual
ST0323 3 + 202698 204442 SUTs SUT034 SUT034 bothEndsMapped Manual
ST0324 3 + 205762 205938 SUTs SUT035 SUT035 bothEndsMapped Manual
ST0325 3 + 206826 208042 SUTs SUT036 SUT036 bothEndsMapped Manual
ST0331 3 + 223498 224210 SUTs SUT037 SUT037 bothEndsMapped Manual
ST0339 3 + 242594 244122 SUTs SUT038 SUT038 bothEndsMapped Manual
ST0349 3 + 273090 274354 SUTs SUT039 SUT039 mapped5 Manual
ST0355 3 + 298642 299522 SUTs SUT040 SUT040 bothEndsMapped Manual
ST0366 4 + 59129 60697 SUTs SUT041 SUT041 bothEndsMapped Manual
ST0370 4 + 80713 82585 SUTs SUT042 SUT042 bothEndsMapped Manual
ST0443 4 + 312881 314161 SUTs SUT043 SUT043 bothEndsMapped Manual
ST0444 4 + 314921 316961 SUTs SUT044 SUT044 bothEndsMapped Manual
ST0445 4 + 320249 321009 SUTs SUT045 SUT045 bothEndsMapped Manual
ST0447 4 + 323785 324457 SUTs SUT046 SUT046 bothEndsMapped Manual
ST0450 4 + 330601 330993 SUTs SUT047 SUT047 mapped5 Manual
ST0462 4 + 381593 386505 SUTs SUT048 SUT048 bothEndsMapped Manual
ST0466 4 + 407601 408201 SUTs SUT049 SUT049 bothEndsMapped Manual
ST0488 4 + 460577 460721 SUTs SUT050 SUT050 bothEndsMapped Manual
ST0497 4 + 485482 486114 SUTs SUT051 SUT051 bothEndsMapped Manual
ST0502 4 + 501458 501674 SUTs SUT052 SUT052 bothEndsMapped Manual
ST0505 4 + 506331 507771 SUTs SUT053 SUT053 bothEndsMapped Manual
ST0511 4 + 542179 542523 SUTs SUT054 SUT054 bothEndsMapped Manual
ST0513 4 + 544043 544730 SUTs SUT055 SUT055 bothEndsMapped Manual
ST0517 4 + 556739 557099 SUTs SUT056 SUT056 bothEndsMapped Manual
ST0538 4 + 614196 616916 SUTs SUT057 SUT057 bothEndsMapped Manual
ST0548 4 + 680212 680420 SUTs SUT058 SUT058 bothEndsMapped Manual
ST0560 4 + 718644 719788 SUTs SUT059 SUT059 bothEndsMapped Manual
ST0561 4 + 722292 726500 SUTs SUT060 SUT060 bothEndsMapped Manual
ST0592 4 + 831709 832749 SUTs SUT061 SUT061 bothEndsMapped Manual
ST0626 4 + 957789 958597 SUTs SUT062 SUT062 bothEndsMapped Manual
ST0631 4 + 968029 969693 SUTs SUT063 SUT063 bothEndsMapped Manual
ST0633 4 + 977053 977309 SUTs SUT064 SUT064 bothEndsMapped Manual
ST0641 4 + 1014357 1016877 SUTs SUT065 SUT065 bothEndsMapped Manual
ST0657 4 + 1080797 1081045 SUTs SUT066 SUT066 bothEndsMapped Manual
ST0673 4 + 1140661 1140701 SUTs SUT067 SUT067 bothEndsMapped Manual
