ID chr strand start end type name commonName endConfidence source
ST0002 1 + 30073 30905 CUTs CUT001 CUT001 bothEndsMapped Automatic
ST0033 1 + 138607 138831 CUTs CUT002 CUT002 bothEndsMapped Automatic
ST0035 1 + 143439 143599 CUTs CUT003 CUT003 mappedNone Automatic
ST0041 1 + 170495 172447 CUTs CUT004 CUT004 bothEndsMapped Automatic
ST0043 1 + 180255 180511 CUTs CUT005 CUT005 bothEndsMapped Automatic
ST0064 2 + 96354 96570 CUTs CUT006 CUT006 bothEndsMapped Automatic
ST0089 2 + 191991 192343 CUTs CUT007 CUT007 bothEndsMapped Automatic
ST0100 2 + 237744 237928 CUTs CUT008 CUT008 bothEndsMapped Automatic
ST0108 2 + 254872 255056 CUTs CUT009 CUT009 mapped3 Automatic
ST0117 2 + 296288 296576 CUTs CUT010 CUT010 bothEndsMapped Automatic
ST0121 2 + 306288 306696 CUTs CUT011 CUT011 mapped5 Automatic
ST0122 2 + 306696 307104 CUTs CUT012 CUT012 mapped3 Automatic
ST0124 2 + 310632 310952 CUTs CUT013 CUT013 bothEndsMapped Automatic
ST0128 2 + 324512 325360 CUTs CUT014 CUT014 bothEndsMapped Automatic
ST0129 2 + 326296 326776 CUTs CUT015 CUT015 bothEndsMapped Automatic
ST0132 2 + 339600 339944 CUTs CUT016 CUT016 bothEndsMapped Automatic
ST0133 2 + 341016 342576 CUTs CUT017 CUT017 mapped5 Automatic
ST0137 2 + 360616 360968 CUTs CUT018 CUT018 bothEndsMapped Automatic
ST0139 2 + 365896 366655 CUTs CUT019 CUT019 bothEndsMapped Automatic
ST0140 2 + 370071 370543 CUTs CUT020 CUT020 mapped5 Automatic
ST0143 2 + 376375 376831 CUTs CUT021 CUT021 bothEndsMapped Automatic
ST0144 2 + 379151 379447 CUTs CUT022 CUT022 bothEndsMapped Automatic
ST0146 2 + 381375 381639 CUTs CUT023 CUT023 mapped3 Automatic
ST0154 2 + 423511 423743 CUTs CUT024 CUT024 mapped5 Automatic
ST0156 2 + 429663 431775 CUTs CUT025 CUT025 bothEndsMapped Automatic
ST0172 2 + 483728 484024 CUTs CUT026 CUT026 bothEndsMapped Automatic
ST0174 2 + 493088 493680 CUTs CUT027 CUT027 bothEndsMapped Automatic
ST0199 2 + 571440 572000 CUTs CUT028 CUT028 mapped5 Automatic
ST0201 2 + 576344 576768 CUTs CUT029 CUT029 bothEndsMapped Automatic
