chr strand start end
1 + 11271 11786
1 + 13124 13702
1 + 13728 16713
1 + 24353 24706
1 + 24815 25522
1 + 27076 28176
1 + 30018 30861
1 + 43129 44992
1 + 44999 45497
1 + 68698 69664
1 + 137746 138818
1 + 172060 172435
1 + 180398 180732
1 + 196661 197192
1 + 197273 200023
1 + 200611 202688
1 - 5237 5888
1 - 17194 17983
1 - 28987 29747
1 - 31638 34449
1 - 35026 35382
1 - 65392 65729
1 - 71124 71516
1 - 73799 74695
1 - 133553 133962
1 - 180275 180954
1 - 181497 181803
1 - 182868 183593
1 - 185981 186352
1 - 187086 188129
1 - 188789 189108
1 - 189568 190041
1 - 203579 204268
1 - 206231 206686
1 - 206724 207473
1 - 210425 210798
1 - 220233 220673
2 + 10621 13764
2 + 122000 122347
2 + 151408 153139
2 + 164473 165007
2 + 238486 238953
2 + 251289 252148
2 + 254627 254914
2 + 256922 257599
2 + 258148 258826
2 + 288253 288844
2 + 292135 292764
2 + 306247 306896
2 + 307029 307344
2 + 321342 321653
2 + 324372 325104
2 + 325785 326184
2 + 336691 337669
2 + 339653 339973
2 + 341433 342155
2 + 349751 350789
2 + 356261 356649
2 + 362763 364713
2 + 365888 367096
2 + 370384 370951
2 + 371465 373698
2 + 376607 378630
2 + 379224 380022
2 + 381461 381737
2 + 391913 392312
2 + 407391 408037
2 + 408241 408763
2 + 427121 431726
2 + 474271 477068
2 + 493069 493754
2 + 532456 533313
2 + 581938 582295
2 + 593257 595502
2 + 611316 611913
2 + 614210 616162
2 + 640337 642241
2 + 644197 645043
2 + 661974 662552
2 + 674945 675264
2 + 697849 698279
2 + 718339 718995
2 + 742766 743064
2 + 767864 768155
2 + 807257 808328
2 - 35551 35881
2 - 91326 92219
2 - 110956 111281
2 - 114850 115362
2 - 126057 127561
2 - 159872 160246
2 - 160519 160774
2 - 165319 165887
2 - 165966 166970
2 - 169345 170001
2 - 171504 172192
2 - 184474 184849
2 - 208370 208925
2 - 218233 221053
2 - 221285 221555
2 - 245839 246530
2 - 246777 248622
2 - 269734 270170
2 - 279141 280938
2 - 281281 283948
2 - 288329 289246
2 - 301354 303621
2 - 327843 328150
2 - 330106 330422
2 - 349636 350767
2 - 372980 373315
2 - 380395 381134
2 - 390120 390767
2 - 408011 409201
2 - 417018 417488
2 - 460651 460914
2 - 533834 534978
2 - 590143 591380
2 - 601268 602303
2 - 628813 629846
2 - 643761 645052
2 - 653168 653528
2 - 653687 654238
2 - 689128 689650
2 - 701884 702185
2 - 704775 705164
2 - 722283 723030
2 - 736195 736825
2 - 738783 739170
2 - 773911 774451
2 - 786206 786867
2 - 788498 792072
2 - 792143 792583
2 - 806694 806991
3 + 29541 30536
3 + 30658 31231
3 + 39640 40897
3 + 40898 41322
3 + 74617 75423
3 + 77186 78064
3 + 95586 95993
3 + 104959 105333
3 + 116350 117194
3 + 125166 127019
3 + 132256 133884
3 + 147842 148620
3 + 156208 157139
3 + 157564 158458
3 + 160622 161844
3 + 168894 169245
3 + 173922 174406
3 + 175161 175613
3 + 202713 203350
3 + 203380 205140
3 + 210409 210823
3 + 242568 244220
3 + 249608 250085
3 + 293819 294429
3 + 298644 299581
3 - 30897 31176
3 - 52754 53926
3 - 71878 72688
3 - 107953 108893
3 - 113182 114258
3 - 115093 117120
3 - 124111 125251
3 - 152204 152589
3 - 193309 193594
3 - 214044 214824
3 - 224332 226238
3 - 253064 254116
3 - 264624 264912
3 - 289747 290932
3 - 299573 300621
3 - 308245 310023
3 - 313186 313692
4 + 21720 22559
4 + 35557 36216
4 + 48344 48752
4 + 49844 51041
4 + 59126 60491
4 + 61133 61531
4 + 73534 76624
4 + 80657 83424
4 + 102394 102977
4 + 103795 104625
4 + 145788 146722
4 + 147235 147497
4 + 149392 149828
4 + 219363 219814
4 + 220927 221556
4 + 238858 239473
4 + 247728 248032
4 + 264394 264839
4 + 274117 274866
4 + 295123 295642
4 + 312675 314163
4 + 316558 316840
4 + 320200 321028
4 + 357456 359301
4 + 365516 365820
4 + 367350 368437
4 + 387162 387698
4 + 388407 388904
4 + 407477 408170
4 + 409565 409905
4 + 409947 410233
4 + 470953 471719
4 + 481961 482305
4 + 482945 483228
4 + 483515 484000
4 + 485657 486402
4 + 501453 502264
4 + 506311 507349
4 + 511973 513337
4 + 542261 544699
4 + 556685 557142
4 + 562644 563235
4 + 569177 570466
4 + 582770 583403
4 + 589721 590056
4 + 602267 602776
4 + 607063 607329
4 + 614273 615272
4 + 616056 616824
4 + 617734 618405
4 + 628804 629388
4 + 644340 644857
4 + 657774 658239
4 + 680212 680568
4 + 684906 685264
4 + 718644 719852
4 + 720488 720888
4 + 721989 724022
4 + 724072 726093
4 + 733535 734024
4 + 742095 742563
4 + 743417 743978
4 + 744250 744506
4 + 764121 764398
4 + 794447 795648
4 + 795686 796029
4 + 804807 805138
4 + 806023 806487
4 + 831780 832672
4 + 904287 905029
4 + 926737 927035
4 + 948930 949834
4 + 957917 958696
4 + 968025 969792
4 + 976477 977822
4 + 978506 978779
4 + 979509 980106
4 + 1013456 1016791
4 + 1022148 1022973
4 + 1030513 1031188
4 + 1049876 1050556
4 + 1071418 1071984
4 + 1080790 1081052
4 + 1092852 1093144
4 + 1157398 1157777
4 + 1157892 1158153
4 + 1158299 1158989
4 + 1162285 1162907
4 + 1165189 1166374
4 + 1166577 1167099
4 + 1172413 1172831
4 + 1174462 1175682
4 + 1192679 1194565
4 + 1196545 1197754
4 + 1238471 1238866
4 + 1272836 1274353
4 + 1288226 1289184
4 + 1295769 1296828
4 + 1319407 1319695
4 + 1323643 1323917
4 + 1344466 1345176
4 + 1361102 1362377
4 + 1366480 1366884
4 + 1399723 1400141
4 + 1406027 1408830
4 + 1409509 1410163
4 + 1410437 1411418
4 + 1428285 1428916
4 + 1433291 1434455
4 + 1445775 1446753
4 + 1454968 1456559
4 + 1459689 1460627
4 + 1481122 1482418
4 + 1483708 1485087
4 + 1488272 1489047
4 + 1493561 1493828
4 + 1500688 1502524
4 + 1506971 1507929
4 + 1514662 1515348
4 + 1516551 1517590
4 + 1518189 1519176
4 + 1521103 1522487
4 - 3829 4268
4 - 21775 22456
4 - 43175 43664
4 - 66067 67593
4 - 99432 100052
4 - 115473 116109
4 - 132002 132725
4 - 134413 134703
4 - 134731 135577
4 - 164416 164817
4 - 168332 168760
4 - 212685 217240
4 - 232238 233916
4 - 233984 235636
4 - 239860 242105
4 - 250808 251281
4 - 292420 292806
4 - 303042 304855
4 - 371013 372032
4 - 398589 398893
4 - 407836 408395
4 - 414112 414741
4 - 422043 422401
4 - 443693 444202
4 - 455737 456187
4 - 462738 463774
4 - 470817 471382
4 - 488907 489279
4 - 506469 507160
4 - 538871 539575
4 - 542045 542470
4 - 544832 546025
4 - 563824 564375
4 - 575046 575831
4 - 575868 576326
4 - 578553 579114
4 - 592564 593531
4 - 598484 600354
4 - 620372 621781
4 - 651786 653135
4 - 687402 687874
4 - 703361 703938
4 - 721748 722217
4 - 733011 733314
4 - 785222 785692
4 - 791952 792246
4 - 795454 795886
4 - 803027 803613
4 - 819737 820867
4 - 829033 829362
4 - 891945 892408
4 - 892778 893551
4 - 908293 909413
4 - 909908 913787
4 - 915093 915463
4 - 965316 966520
4 - 998811 999685
4 - 1008099 1008355
4 - 1018100 1019172
4 - 1102219 1103627
4 - 1130883 1131237
4 - 1139820 1140532
4 - 1145886 1146157
4 - 1155958 1158865
4 - 1174382 1174864
4 - 1182540 1183231
4 - 1183261 1183542
4 - 1191439 1191872
4 - 1234052 1236191
4 - 1259758 1260095
4 - 1260493 1261391
4 - 1274598 1275431
4 - 1279111 1279953
4 - 1291071 1292151
4 - 1311929 1312600
4 - 1337373 1338116
4 - 1338155 1339473
4 - 1340786 1342204
4 - 1353109 1353449
4 - 1411298 1412117
4 - 1451162 1452932
4 - 1469975 1470279
4 - 1479070 1479372
4 - 1480162 1480587
4 - 1493511 1493812
4 - 1514182 1514632
4 - 1514645 1514910
4 - 1515044 1516607
5 + 21399 25477
5 + 39909 41514
5 + 48743 50112
5 + 50549 52008
5 + 69043 69525
5 + 118165 118567
5 + 125090 126144
5 + 137039 138523
5 + 150263 151343
5 + 152380 153280
5 + 167067 167891
5 + 187812 188099
5 + 210477 210789
5 + 211224 212381
5 + 239585 241429
5 + 241994 242364
5 + 249027 249415
5 + 258374 259024
5 + 259868 260665
5 + 261950 262444
5 + 268778 269424
5 + 270648 271614
5 + 279865 280881
5 + 284414 287556
5 + 289255 289954
5 + 310696 311916
5 + 334594 335699
5 + 336461 337649
5 + 343932 344682
5 + 353703 354379
5 + 361836 362115
5 + 378003 378793
5 + 399434 401001
5 + 438028 438451
5 + 449999 450545
5 + 460349 460752
5 + 461056 462039
5 + 463434 463840
5 + 464235 464978
5 + 489142 489575
5 + 503064 503905
5 + 503952 504966
5 + 539755 540480
5 + 554070 557076
5 + 558747 559151
5 - 8379 9843
5 - 10436 11362
5 - 46402 47242
5 - 62634 63977
5 - 75956 77497
5 - 98365 99707
5 - 147618 148009
5 - 151067 151418
5 - 151488 151893
5 - 156053 156525
5 - 161376 162484
5 - 176048 176591
5 - 176784 177623
5 - 186889 188143
5 - 202478 204664
5 - 241934 242627
5 - 248477 249871
5 - 268365 269095
5 - 273829 277895
5 - 284410 284903
5 - 290925 291570
5 - 298081 298394
5 - 302667 303190
5 - 313833 314173
5 - 318860 319568
5 - 361955 362249
5 - 363694 364283
5 - 366505 367109
5 - 402202 402596
5 - 431780 432274
5 - 434925 435666
5 - 468586 468901
5 - 474981 475317
5 - 488062 488573
5 - 498370 498809
5 - 525956 526409
5 - 527049 527340
5 - 541958 542735
5 - 542753 544348
5 - 548724 549330
5 - 560680 560945
5 - 565690 566425
6 + 19834 20110
6 + 30375 31167
6 + 31493 32436
6 + 54825 55429
6 + 72663 73029
6 + 78682 79337
6 + 97966 98634
6 + 104083 104535
6 + 111492 112311
6 + 134876 135412
6 + 193511 193864
6 + 205901 207000
6 + 252014 252331
6 + 256434 256904
6 + 257449 258236
6 - 856 1195
6 - 8805 9258
6 - 23555 25508
6 - 26056 27917
6 - 76507 77849
6 - 95280 95736
6 - 96822 98060
6 - 111121 111776
6 - 128306 130015
6 - 158095 159130
6 - 159153 160095
6 - 194064 194326
6 - 194606 194990
6 - 196895 197312
6 - 213021 213450
6 - 241532 241878
6 - 259423 259753
6 - 262267 263702
7 + 10396 10713
7 + 27764 29770
7 + 29964 30282
7 + 63744 64355
7 + 78243 79824
7 + 89434 89903
7 + 95077 95436
7 + 121123 122110
7 + 149689 150376
7 + 150428 150840
7 + 154878 155970
7 + 166338 166665
7 + 204011 205231
7 + 205757 206180
7 + 235778 236163
7 + 253484 254042
7 + 270363 270786
7 + 276429 277352
7 + 280770 281288
7 + 309006 310190
7 + 324125 325138
7 + 342585 342988
7 + 360911 361257
7 + 363285 363888
7 + 381800 382482
7 + 422150 422858
7 + 423433 423692
7 + 427259 427664
7 + 433883 435092
7 + 497633 498116
7 + 559188 559547
7 + 582240 582511
7 + 592742 593366
7 + 605672 605981
7 + 616270 617396
7 + 620210 622304
7 + 637710 638196
7 + 660017 661546
7 + 701680 702560
7 + 729952 730858
7 + 731272 733123
7 + 752982 754412
7 + 764934 765610
7 + 778144 778964
7 + 784210 785903
7 + 793227 794137
7 + 797389 797834
7 + 811153 811427
7 + 834083 834619
7 + 845828 846351
7 + 849902 851141
7 + 858995 859712
7 + 865910 866227
7 + 883923 884484
7 + 886197 887070
7 + 890108 890847
7 + 893785 894240
7 + 899841 900117
7 + 902196 903518
7 + 937069 938266
7 + 968810 970546
7 + 974187 975069
7 + 994254 994971
7 + 1018003 1019209
7 + 1026108 1026558
7 + 1051985 1052254
7 + 1059031 1059732
7 + 1060287 1060717
7 + 1060897 1061182
7 + 1078575 1079876
7 + 1081184 1081499
7 + 1081802 1082065
7 + 1082822 1083583
7 - 11183 11506
7 - 17304 17726
7 - 18907 19244
7 - 20277 20551
7 - 21510 22088
7 - 31840 33938
7 - 33948 35090
7 - 36280 36571
7 - 48649 49243
7 - 74829 75660
7 - 94755 95063
7 - 95655 96825
7 - 97146 98590
7 - 108580 110391
7 - 130099 131318
7 - 159067 159718
7 - 196878 197953
7 - 210460 213776
7 - 225891 226492
7 - 255413 255802
7 - 255872 257286
7 - 270974 271464
7 - 272370 273145
7 - 288831 289408
7 - 292828 293304
7 - 311956 313068
7 - 320503 320866
7 - 323393 324383
7 - 325479 325815
7 - 354400 355587
7 - 383569 384475
7 - 393157 393684
7 - 397907 398647
7 - 402593 403066
7 - 403291 403776
7 - 403878 404450
7 - 412746 413062
7 - 421500 422122
7 - 423285 424405
7 - 483164 484436
7 - 511605 512913
7 - 512970 513514
