chrom strand start end feature
1 + 696 786 ARS102
1 + 7986 8557 ARS103
1 + 30935 31193 ARS104
1 + 41981 42161 ARS105
1 + 70289 70479 ARS106
1 + 124338 124607 ARS107
1 + 147387 147727 ARS108
1 + 159896 160137 ARS109
1 + 176146 176414 ARS110
1 + 214877 215654 ARS111
1 + 222869 224056 ARS112
2 + 29 212 ARS200
2 + 6487 6630 ARS201
2 + 28931 29170 ARS230
2 + 63248 63391 ARS202
2 + 93424 93529 ARS203
2 + 143647 143755 ARS206
2 + 170162 170289 ARS207
2 + 198302 198483 ARS231
2 + 237776 237910 ARS208
2 + 254987 255093 ARS209
2 + 326129 326385 ARS211
2 + 704285 704576 ARS222
2 + 741670 741807 ARS224
2 + 757426 757677 ARS225
2 + 792207 792320 ARS228
2 + 379210 379922 ARS212
2 + 389201 390381 ARS213
2 + 407942 408078 ARS214
2 + 417773 418089 ARS215
2 + 486696 486964 ARS216
2 + 517174 517396 ARS217
2 + 622660 622949 ARS220
2 + 631928 632261 ARS221
3 + 978 1078 ARS300
3 + 11135 11411 ARS301
3 + 14564 14859 ARS302
3 + 14860 15223 ARS303
3 + 15203 16284 ARS320
3 + 30189 30667 ARS304
3 + 39497 39605 ARS305
3 + 74447 74687 ARS306
3 + 108716 109070 ARS307
3 + 114310 114949 ARS308
3 + 132032 132130 ARS309
3 + 166492 167358 ARS310
3 + 194297 194377 ARS313
3 + 197449 197608 ARS314
3 + 224805 225071 ARS315
3 + 272841 273105 ARS316
3 + 292627 292704 ARS317
3 + 294809 294911 ARS318
3 + 315796 315889 ARS319
4 + 126 1402 ARS400
4 + 15482 15749 ARS403
4 + 46174 46247 ARS404
4 + 85934 86186 ARS405
4 + 123606 123911 ARS406
4 + 899040 899606 ARS427
4 + 913779 914048 ARS428
4 + 921681 921949 ARS429
4 + 1016659 1016921 ARS430
4 + 212508 212628 ARS409
4 + 235926 236195 ARS409.5
4 + 253780 254049 ARS410
4 + 256519 256643 ARS411
4 + 316760 317240 ARS412
4 + 329555 329824 ARS413
4 + 408064 408326 ARS414
4 + 434960 435330 ARS415
4 + 462556 462632 ARS416
4 + 483995 484069 ARS417
4 + 505332 505594 ARS450
4 + 555229 555414 ARS418
4 + 567599 567695 ARS419
4 + 628927 629592 ARS420
4 + 639995 640082 ARS421
4 + 702876 703142 ARS422
4 + 748381 748647 ARS451
4 + 753231 753396 ARS423
4 + 806041 806287 ARS425
4 + 1057830 1057961 ARS431
4 + 1109953 1110214 ARS452
4 + 1159251 1159520 ARS432
4 + 1166056 1166222 ARS453
4 + 1240871 1241120 ARS433
4 + 1276214 1276462 ARS434
4 + 1302678 1302778 ARS435
4 + 1305746 1306322 ARS436
4 + 1379630 1380110 ARS439
4 + 1404279 1404534 ARS440
4 + 1454498 1455097 ARS442
4 + 1461851 1462183 ARS443
4 + 1486907 1487171 ARS446
5 + 4086 4195 ARS502
5 + 6367 6463 ARS503
5 + 8775 10029 ARS504
5 + 59327 59487 ARS507
5 + 93967 94228 ARS508
5 + 145667 145850 ARS510
5 + 173689 173874 ARS511
5 + 212372 212641 ARS512
5 + 257947 258747 ARS513
5 + 276119 276538 ARS513.5
5 + 278065 278367 ARS513.7
5 + 287541 287639 ARS514
5 + 316589 316817 ARS515
5 + 353567 353646 ARS516
5 + 406741 406963 ARS517
5 + 438923 439192 ARS518
5 + 442405 442745 ARS519
5 + 498873 499192 ARS520
5 + 520761 521040 ARS521
5 + 549555 549824 ARS522
5 + 569607 569705 ARS523
6 + 5415 5539 ARS600
6 + 20691 20910 ARS600.4
6 + 32462 33005 ARS601
6 + 32656 33257 ARS602
6 + 68748 68871 ARS603
6 + 104452 104711 ARS603.1
6 + 118626 118967 ARS603.5
6 + 127740 128081 ARS604
6 + 135974 136095 ARS605
6 + 167536 167811 ARS606
6 + 199384 199515 ARS607
6 + 216346 216714 ARS608
6 + 256266 256441 ARS609
6 + 269406 270045 ARS610
7 + 64349 64474 ARS702
7 + 112068 112327 ARS704
7 + 117550 117864 ARS706
7 + 163207 163328 ARS707
7 + 388647 388901 ARS717
7 + 421160 421289 ARS718
7 + 484919 485167 ARS719
7 + 508718 508987 ARS720
7 + 1083784 1084873 ARS736
7 + 187453 187806 ARS709
7 + 203903 204165 ARS710
7 + 231896 231991 ARS701
7 + 241074 241363 ARS712
7 + 285980 286091 ARS714
7 + 288440 288522 ARS715
7 + 352749 352916 ARS716
7 + 715301 715387 ARS728
7 + 777955 778224 ARS729
7 + 834480 834744 ARS731
7 + 568479 568747 ARS721
7 + 574611 574925 ARS722
7 + 575473 576356 ARS723
7 + 581425 582223 ARS724
7 + 659896 660012 ARS727
7 + 888402 888503 ARS737
7 + 977717 977986 ARS733
7 + 999445 999586 ARS734
7 + 1002228 1002532 ARS735
8 + 392169 392405 ARS818
8 + 447703 447805 ARS820
8 + 501745 502006 ARS822
8 + 5460 6411 ARS801
8 + 7691 7777 ARS802
8 + 64285 64381 ARS805
8 + 116168 116431 ARS806
8 + 133427 133549 ARS807
8 + 140338 141284 ARS808
8 + 168538 168733 ARS809
8 + 212709 213195 ARS810
8 + 214707 215193 ARS811
8 + 245762 245857 ARS813
8 + 286759 287138 ARS814
8 + 297049 297189 ARS815
8 + 555990 556341 ARS824
9 + 7459 8803 ARS902
9 + 16130 16794 ARS904
9 + 73809 74001 ARS907
9 + 105859 106063 ARS909
9 + 113226 113816 ARS910
9 + 136087 136348 ARS911
9 + 175027 175368 ARS912
9 + 214613 214764 ARS913
9 + 245745 245935 ARS923
9 + 247694 247770 ARS914
9 + 248385 248860 ARS915
9 + 313850 314045 ARS918
9 + 341965 342055 ARS919
9 + 357149 357406 ARS920
9 + 362913 363231 ARS921
9 + 411924 412021 ARS922
10 + 54 587 ARS1001
10 + 7434 7953 ARS1002
10 + 16113 16772 ARS1003
10 + 23651 24168 ARS1004
10 + 67652 67746 ARS1005
10 + 99447 99688 ARS1006
10 + 113667 113759 ARS1007
10 + 204018 204927 ARS1008
10 + 228541 229053 ARS1009
10 + 298970 299255 ARS1010
10 + 337270 337539 ARS1011
10 + 374869 375132 ARS1012
10 + 375695 376237 ARS1013
10 + 417184 417450 ARS1014
10 + 442545 442975 ARS1015
10 + 454573 455565 ARS1016
10 + 459326 459905 ARS1017
10 + 540535 540790 ARS1018
10 + 612835 613288 ARS1019
10 + 654364 654624 ARS1020
10 + 683998 684108 ARS1021
10 + 711885 712152 ARS1022
10 + 729972 730523 ARS1023
10 + 737023 737285 ARS1024
10 + 744397 745018 ARS1025
11 + 581822 582080 ARS1118
11 + 612367 612473 ARS1120
11 + 642716 642983 ARS1123
11 + 7517 8319 ARS1102
11 + 55660 55927 ARS1103
11 + 88778 89297 ARS1104
11 + 98353 98533 ARS1125
11 + 153009 153145 ARS1106
11 + 196031 196297 ARS1126
11 + 213428 213753 ARS1127
11 + 329671 329940 ARS1109
11 + 388959 389274 ARS1112
11 + 417174 417427 ARS1113
11 + 448009 448264 ARS1114
11 + 462688 463752 ARS1115
11 + 517006 517275 ARS1116
12 + 30198 31394 ARS1202
12 + 91408 91670 ARS1206
12 + 138174 139174 ARS1207
12 + 150936 151399 ARS1208
12 + 156637 156894 ARS1209
12 + 888559 888820 ARS1238
12 + 919789 921004 ARS1228
12 + 930880 931074 ARS1230
12 + 1007175 1007485 ARS1232
12 + 1013784 1014032 ARS1233
12 + 1024015 1024196 ARS1234
12 + 603013 603142 ARS1218
12 + 623187 623871 ARS1219
12 + 659873 659945 ARS1220
12 + 222209 222686 ARS1210
12 + 231168 231431 ARS1211
12 + 289304 289454 ARS1212
12 + 343566 344042 ARS1212.5
12 + 373243 373342 ARS1213
12 + 384523 384735 ARS1214
12 + 412675 412903 ARS1215
12 + 450474 450735 ARS1216
12 + 458980 459107 ARS1200-1
12 + 468117 468244 ARS1200-2
12 + 512856 513125 ARS1217
12 + 720773 721428 ARS1221
12 + 744932 745189 ARS1223
12 + 794089 794241 ARS1226
12 + 1059428 1059933 ARS1235
13 + 31755 31845 ARS1303
13 + 39813 40197 ARS1304
13 + 94206 94473 ARS1305
13 + 137289 137558 ARS1307
13 + 158876 159287 ARS1307.5
13 + 370990 371115 ARS1312
13 + 468168 468479 ARS1316
13 + 477595 478311 ARS1317
13 + 503378 503781 ARS1319
13 + 897924 897995 ARS1332
13 + 917885 918376 ARS1333
13 + 923004 923504 ARS1335
13 + 183786 183897 ARS1308
13 + 263052 263306 ARS1309
13 + 286824 286961 ARS1310
13 + 758213 758481 ARS1327
13 + 772620 772889 ARS1328
13 + 805141 805292 ARS1329
13 + 815331 815577 ARS1330
13 + 837753 837938 ARS1331
13 + 535586 535854 ARS1320
13 + 542870 542988 ARS1321
13 + 553411 554341 ARS1322
13 + 611264 611499 ARS1323
13 + 634490 634598 ARS1324
13 + 649298 649562 ARS1325
14 + 28458 28710 ARS1405
14 + 61588 61905 ARS1406
14 + 89520 89814 ARS1407
14 + 96236 96473 ARS1409
14 + 126588 126815 ARS1410
14 + 169664 169763 ARS1411
14 + 546061 546180 ARS1421
14 + 561100 561398 ARS1422
14 + 568208 568534 ARS1423
14 + 609509 609617 ARS1424
14 + 616300 617135 ARS1425
14 + 635653 635914 ARS1426
14 + 196123 196242 ARS1412
14 + 250304 250941 ARS1413
14 + 279971 280081 ARS1414
14 + 321910 322223 ARS1415
14 + 325043 325277 ARS1416
14 + 691475 691740 ARS1427
14 + 412256 412506 ARS1417
14 + 449418 449598 ARS1419
14 + 498959 499164 ARS1420
15 + 35658 35914 ARS1531
15 + 72672 72763 ARS1507
15 + 85259 85371 ARS1508
15 + 113874 113993 ARS1509
15 + 166965 167231 ARS1510
15 + 566399 566653 ARS1516
15 + 600875 600970 ARS1502
15 + 616659 617527 ARS1518
15 + 656690 656782 ARS1519
15 + 489672 489952 ARS1501
15 + 277519 277788 ARS1511
15 + 309348 309935 ARS1512
15 + 337413 337501 ARS1513
15 + 874240 874422 ARS1526
15 + 908285 908554 ARS1528
15 + 981451 981707 ARS1529
15 + 729729 729979 ARS1521
15 + 766594 766798 ARS1523
15 + 783334 783573 ARS1524
16 + 18359 19079 ARS1603
16 + 42966 43222 ARS1604
16 + 73021 73237 ARS1605
16 + 116555 116690 ARS1607
16 + 162330 162642 ARS1608
16 + 384531 384799 ARS1618
16 + 418127 418374 ARS1619
16 + 422775 422895 ARS1620
16 + 456552 456820 ARS1633
16 + 511625 511803 ARS1621
16 + 220077 220177 ARS1611
16 + 260920 261737 ARS1612
16 + 289474 289715 ARS1614
16 + 331688 332110 ARS1617
16 + 563841 563977 ARS1622
16 + 565041 565304 ARS1634
16 + 633863 634132 ARS1623
16 + 684378 684647 ARS1624
16 + 695450 695584 ARS1625
16 + 749088 749355 ARS1626
16 + 776915 777166 ARS1635
16 + 819149 819409 ARS1627
16 + 842642 842910 ARS1628
16 + 850501 850639 ARS1629
16 + 880850 881118 ARS1630
16 + 932972 933239 ARS1631
16 + 942073 943042 ARS1632
