chr	strand	start	end	name	commonName
1	+	31153	32985	YAL062W	GDH3
1	+	33361	34897	YAL061W	BDH2
1	+	35097	36393	YAL060W	BDH1
1	+	36545	37329	YAL059W	ECM1
1	+	37409	39033	YAL058W	CNE1
1	+	39217	41969	YAL056W	GPB2
1	+	42161	42833	YAL055W	PEX22
1	+	45761	48305	YAL053W	FLC2
1	+	48513	51799	YAL051W	OAF1
1	+	57503	57959	YAL044W-A	YAL044W-A
1	+	61279	62647	YAL042W	ERV46
1	+	62791	65607	YAL041W	CDC24
1	+	71679	73447	YAL038W	CDC19
1	+	73935	74959	YAL037W	YAL037W
1	+	76383	79535	YAL035W	FUN12
1	+	79695	80647	YAL034W-A	MTW1
1	+	82695	83311	YAL033W	POP5
1	+	87263	87783	YAL030W	SNC1
1	+	92855	94487	YAL028W	FRT2
1	+	94607	95543	YAL027W	YAL027W
1	+	119863	124447	YAL017W	PSK1
1	+	124799	126863	YAL016W	TPD3
1	+	129239	130567	YAL013W	DEP1
1	+	130703	132087	YAL012W	CYS3
1	+	132199	134111	YAL011W	SWC3
1	+	135823	136703	YAL009W	SPO7
1	+	136863	137639	YAL008W	FUN14
1	+	142127	143439	YAL003W, snR18	EFB1, SNR18
1	+	143599	147599	YAL002W	VPS8
1	+	152215	153991	YAR002W	NUP60
1	+	154935	156807	YAR003W	SWD1
1	+	158863	159871	YAR008W	SEN34
1	+	169255	170479	YAR015W	ADE1
1	+	184831	186735	YAR028W, YAR029W	YAR028W, YAR029W
1	+	189991	192391	YAR035W	YAT1
1	+	192583	196255	YAR042W	SWH1
2	+	23993	24889	YBL102W	SFT2
2	+	36729	38929	YBL099W	ATP1
2	+	39121	40561	YBL098W	BNA4
2	+	40785	43145	YBL097W	BRN1
2	+	43145	44201	YBL095W	YBL095W
2	+	45545	46481	YBL092W	RPL32
2	+	48777	49425	YBL090W	MRP21
2	+	49545	51025	YBL089W	AVT5
2	+	63537	66921	YBL085W	BOI1
2	+	71561	73057	YBL081W	YBL081W
2	+	75185	79825	YBL079W	NUP170
2	+	89945	90465	YBL071W-A	KTI11
2	+	90665	92121	YBL069W, YBL068W-A	AST1, YBL068W-A
2	+	92345	93577	YBL068W	PRS4
2	+	101871	105223	YBL063W	KIP1
2	+	107687	109991	YBL060W	YEL1
2	+	110679	111407	YBL059W	YBL059W
2	+	111407	112823	YBL058W	SHP1
2	+	113639	115559	YBL056W	PTC3
2	+	125055	126191	YBL050W	SEC17
2	+	132423	133871	YBL046W	PSY4
2	+	136567	137599	YBL043W	ECM13
2	+	140991	142119	YBL041W	PRE7
2	+	143103	143647	YBL039W-B	YBL039W-B
2	+	146119	146903	YBL038W	MRPL16
2	+	147119	150383	YBL037W	APL3
2	+	160103	161447	YBL032W	HEK2
2	+	161679	162783	YBL031W	SHE1
2	+	166095	167359	YBL029W	YBL029W
2	+	168375	169511	YBL027W	RPL19B
2	+	170551	171135	YBL026W	LSM2
2	+	171423	172207	YBL025W	RRN10
2	+	172503	174687	YBL024W	NCL1
2	+	182335	184207	YBL020W	RFT1
2	+	184263	185975	YBL019W	APN2
2	+	194031	195863	YBL015W	ACH1
2	+	202015	203440	YBL013W	FMT1
2	+	203440	205952	YBL011W	SCT1
2	+	207160	209312	YBL009W	ALK2
2	+	227528	235216	YBL004W	UTP20
2	+	236056	237152	YBL002W	HTB2
2	+	242792	244360	YBR003W	COQ1
2	+	245832	246672	YBR005W	RCR1
2	+	246768	248600	YBR006W	UGA2
2	+	256304	256896	YBR010W	HHT1
2	+	270208	270880	YBR016W	YBR016W
2	+	278856	281304	YBR020W	GAL1
2	+	281344	283512	YBR021W	FUR4
2	+	283664	284392	YBR022W	POA1
2	+	289344	290560	YBR024W	SCO2
2	+	298016	300016	YBR030W	YBR030W
2	+	300104	301392	YBR031W	RPL4A
2	+	311832	314960	YBR038W	CHS2
2	+	315496	316656	YBR039W	ATP3
2	+	318200	320360	YBR041W	FAT1
2	+	331784	332424	YBR047W	FMP23
2	+	332736	334040	YBR048W	RPS11B
2	+	342576	344584	YBR054W	YRO2
2	+	347816	349456	YBR056W	YBR056W
2	+	380239	381375	YBR071W	YBR071W
2	+	381943	382799	YBR072W	HSP26
2	+	383135	385991	YBR073W	RDH54
2	+	386271	389303	YBR074W	YBR074W
2	+	392943	395295	YBR078W	ECM33
2	+	407335	410687	YBR083W	TEC1
2	+	410975	414143	YBR084W	MIS1
2	+	415871	417183	YBR085W	AAC3
2	+	423743	424879	YBR087W	RFC5
2	+	431975	434391	YBR094W	PBY1
2	+	435935	436775	YBR096W	YBR096W
2	+	436903	441287	YBR097W	VPS15
2	+	441495	443743	YBR098W	MMS4
2	+	447551	449319	YBR103W	SIF2
2	+	449575	450759	YBR104W	YMC2
2	+	452575	453511	YBR106W	PHO88
2	+	454807	457824	YBR108W	YBR108W
2	+	462104	462720	YBR111W-A	SUS1
2	+	467160	469664	YBR114W	RAD16
2	+	477560	479128	YBR118W	TEF2
2	+	479256	480440	YBR119W	MUD1
2	+	497144	499456	YBR131W	CCZ1
2	+	504760	505448	YBR135W	CKS1
2	+	505624	512960	YBR136W	MEC1
2	+	512960	513768	YBR137W	YBR137W
2	+	515648	517352	YBR139W	YBR139W
2	+	528240	530800	YBR142W	MAK5
2	+	533600	534960	YBR145W	ADH5
2	+	535192	536288	YBR146W	MRPS9
2	+	537928	539632	YBR148W	YSW1
2	+	539816	541256	YBR149W	ARA1
2	+	544880	546168	YBR151W	APD1
2	+	546312	548360	YBR152W, YBR153W	SPP381, RIB7
2	+	549704	551040	YBR155W	CNS1
2	+	556280	558336	YBR158W	AMN1
2	+	558632	559848	YBR159W	IFA38
2	+	559960	561056	YBR160W	CDC28
2	+	561488	562912	YBR161W	CSH1
2	+	565176	565520	YBR162W-A	YSY6
2	+	565624	567816	YBR163W	DEM1
2	+	568768	569808	YBR165W	UBS1
2	+	572000	573776	YBR168W	PEX32
2	+	578320	579120	YBR171W	SEC66
2	+	582384	583456	YBR175W	SWD3
2	+	583632	584744	YBR176W	ECM31
2	+	595904	597128	YBR183W	YPC1
2	+	597344	598936	YBR184W	YBR184W
2	+	602504	603656	YBR187W	GDT1
2	+	604464	605568	YBR189W	RPS9B
2	+	607456	609024	YBR192W	RIM2
2	+	609912	610576	YBR194W	SOY1
2	+	618816	620424	YBR199W	KTR4
2	+	620816	622712	YBR200W	BEM1
2	+	623432	624304	YBR201W	DER1
2	+	625688	628424	YBR202W	CDC47
2	+	628936	631896	YBR203W	COS111
2	+	633576	635016	YBR205W, YBR206W	KTR3, YBR206W
2	+	635064	636664	YBR207W	FTH1
2	+	645336	646176	YBR210W	ERV15
2	+	647448	650056	YBR212W	NGR1
