chrom strand start end feature
1 + 139141 139264 tP(UGG)A
1 + 166256 166349 tA(UGC)A
1 + 181130 181264 tL(CAA)A
1 - 182511 182613 tS(AGA)A
2 + 9572 9676 tL(UAA)B1
2 + 36387 36498 tF(GAA)B
2 + 197483 197577 tI(AAU)B
2 - 197618 197709 tG(GCC)B
2 + 227064 227166 tS(AGA)B
2 + 266367 266460 tT(AGU)B
2 - 326781 326875 tV(UAC)B
2 + 347592 347696 tL(UAA)B2
2 + 350816 350908 tQ(UUG)B
2 + 405867 405959 tR(UCU)B
2 + 405949 406041 tD(GUC)B
2 - 642996 643088 tC(GCA)B
2 + 645156 645248 tE(UUC)B
3 - 82451 82543 tE(UUC)C
3 + 90848 90982 tL(CAA)C
3 - 123566 123658 tP(AGG)C
3 + 127705 127799 tN(GUU)C
3 - 142690 142781 tG(GCC)C
3 + 149909 150001 tM(CAU)C
3 - 151273 151366 tK(CUU)C
3 - 168290 168382 tQ(UUG)C
3 + 227931 228052 tS(CGA)C
3 + 295473 295566 tT(AGU)C
4 + 83537 83628 tG(GCC)D1
4 + 884350 884503 tI(UAU)D
4 + 946301 946410 tY(GUA)D
4 - 980963 981065 tS(AGA)D2
4 + 992821 992912 tG(GCC)D2
4 - 1017196 1017288 tE(CUC)D
4 + 359566 359682 tK(UUU)D
4 + 410368 410461 tA(AGC)D
4 - 434253 434346 tT(AGU)D
4 + 437761 437863 tS(AGA)D1
4 - 488786 488880 tV(UAC)D
4 + 519732 519836 tL(UAA)D
4 + 520961 521053 tQ(UUG)D1
4 + 568871 568963 tR(UCU)D
4 + 568953 569045 tD(GUC)D
4 - 619958 620051 tR(ACG)D
4 - 645142 645234 tQ(UUG)D2
4 - 667996 668090 tI(AAU)D
4 - 802720 802812 tQ(UUG)D3
4 - 1075461 1075554 tV(CAC)D
4 - 1095359 1095471 tF(GAA)D
4 - 1150831 1150951 tX(XXX)D
4 + 1175818 1175911 tM(CAU)D
4 + 1201739 1201832 tK(CUU)D1
4 - 1256997 1257089 tG(CCC)D
4 + 1305619 1305722 tS(AGA)D3
4 - 1352455 1352548 tK(CUU)D2
4 - 1461704 1461839 tL(CAA)D
5 - 61879 61970 tG(GCC)E
5 + 86593 86695 tS(AGA)E
5 + 100122 100214 tM(CAU)E
5 - 131071 131163 tQ(UUG)E2
5 - 135414 135507 tK(CUU)E1
5 + 138655 138747 tR(UCU)E
5 + 177088 177180 tE(UUC)E1
5 + 207346 207438 tH(GUG)E1
5 + 250275 250367 tQ(UUG)E1
5 - 288432 288534 tS(UGA)E
5 - 312012 312105 tA(UGC)E
5 + 354923 355015 tE(UUC)E2
5 - 434530 434622 tH(GUG)E2
5 - 435741 435834 tK(CUU)E2
5 + 438689 438783 tV(AAC)E1
5 - 443191 443285 tI(AAU)E1
5 + 469446 469540 tV(AAC)E2
5 - 487320 487412 tE(UUC)E3
5 - 492341 492434 tR(ACG)E
5 - 551274 551368 tI(AAU)E2
6 + 101365 101488 tP(UGG)F
6 - 137475 137569 tN(GUU)F
6 - 157905 158017 tF(GAA)F
6 + 162217 162308 tG(GCC)F1
6 + 167426 167535 tY(GUA)F1
6 - 180963 181054 tG(GCC)F2
6 - 191502 191623 tS(GCU)F
6 - 204913 205006 tA(AGC)F
6 - 210608 210717 tY(GUA)F2
6 - 226677 226770 tK(CUU)F
7 - 73818 73912 tV(AAC)G3
7 - 110614 110706 tH(GUG)G1
7 + 115477 115593 tK(UUU)G1
7 + 122258 122351 tK(CUU)G1
7 - 401516 401608 tE(UUC)G2
7 + 405459 405551 tR(UCU)G1
7 - 412283 412377 tV(AAC)G1
7 + 423081 423215 tL(CAA)G2
7 - 440705 440817 tF(GAA)G
7 - 185703 185796 tK(CUU)G2
7 + 205510 205644 tL(CAA)G1
7 - 287339 287465 tW(CCA)G1
7 + 319770 319862 tH(GUG)G2
7 + 328572 328664 tE(UUC)G1
7 + 700664 700766 tL(GAG)G
7 - 700942 701058 tK(UUU)G2
7 - 707097 707189 tC(GCA)G
7 + 731126 731220 tN(GUU)G
7 + 736329 736421 tR(UCU)G3
7 + 739111 739205 tI(AAU)G
7 + 774338 774431 tA(AGC)G
7 + 779605 779697 tG(UCC)G
7 + 794406 794499 tA(UGC)G
