chr strand start end
1 + 11532 18371
1 + 19169 22185
1 + 30054 30929
1 + 42889 45238
1 + 68669 70988
1 + 126928 129139
1 + 154024 154777
1 + 223195 224006
1 + 227574 229274
2 + 10844 13934
2 + 46581 47639
2 + 84414 87879
2 + 87991 89090
2 + 151320 153709
2 + 164478 164965
2 + 191936 192402
2 + 238459 241294
2 + 251558 252396
2 + 254614 255009
2 + 292276 294022
2 + 296269 298017
2 + 306183 307423
2 + 310586 311453
2 + 321692 325957
2 + 337194 338904
2 + 339507 340792
2 + 340962 342781
2 + 360583 361611
2 + 365874 366623
2 + 369903 370908
2 + 371275 373602
2 + 376368 376505
2 + 379100 380221
2 + 381329 382832
2 + 423482 423752
2 + 426982 427503
2 + 429395 431789
2 + 444977 447533
2 + 453580 454780
2 + 460622 462083
2 + 474297 476987
2 + 483684 486932
2 + 488803 490473
2 + 493062 494334
2 + 532474 533244
2 + 541622 544082
2 + 571397 573816
2 + 573901 576118
2 + 576281 578048
2 + 581576 582368
2 + 586500 589077
2 + 593197 595546
2 + 614350 618547
2 + 625306 625687
2 + 666617 668526
2 + 697856 700097
2 + 700422 701906
2 + 706928 707459
2 + 714671 716695
2 + 734794 736203
2 + 742785 743790
2 + 768799 770874
2 + 772632 773767
2 + 784900 786455
2 + 807370 808331
2 + 809949 812404
3 + 11516 12255
3 + 39033 39529
3 + 68676 70095
3 + 75929 78027
3 + 114654 115661
3 + 116414 118032
3 + 120056 120829
3 + 125222 126059
3 + 132242 132701
3 + 139223 142481
3 + 151897 152571
3 + 158502 160349
3 + 160624 161985
3 + 163216 166713
3 + 172783 173532
3 + 177059 177887
3 + 179031 179398
3 + 197441 199409
3 + 223481 224176
4 + 6693 10618
4 + 34174 36779
4 + 57014 60567
4 + 63467 64964
4 + 68976 72515
4 + 73555 77904
4 + 79577 83356
4 + 83947 86039
4 + 104819 107067
4 + 163422 164092
4 + 238896 239672
4 + 264397 266707
4 + 272176 276555
4 + 310405 312855
4 + 312859 314150
4 + 315185 316852
4 + 320418 321573
4 + 322672 323521
4 + 333136 334802
4 + 344362 345592
4 + 357317 359351
4 + 387078 390352
4 + 392470 393897
4 + 393979 394150
4 + 407449 408034
4 + 417254 421700
4 + 421937 422525
4 + 422586 423614
4 + 482606 484044
4 + 485638 486690
4 + 501780 503225
4 + 506338 507810
4 + 512492 513363
4 + 521275 521734
4 + 542524 544473
4 + 544786 545818
4 + 556722 558174
4 + 562984 563455
4 + 588005 589328
4 + 614207 616250
4 + 616539 618419
4 + 680490 681745
4 + 699733 701833
4 + 715535 716781
4 + 718620 720415
4 + 727794 728156
4 + 744191 746159
4 + 794472 796127
4 + 831787 832655
4 + 854175 856283
4 + 926526 927062
4 + 941018 943560
4 + 963333 964739
4 + 974581 980150
4 + 1013839 1016977
4 + 1022591 1023159
4 + 1030494 1033379
4 + 1049687 1050933
4 + 1059078 1059567
4 + 1072748 1075152
4 + 1090344 1093743
4 + 1106066 1108512
4 + 1112504 1116612
4 + 1149666 1150727
4 + 1153824 1156250
4 + 1159556 1161399
4 + 1165364 1168837
4 + 1174466 1175607
4 + 1195226 1196848
4 + 1215016 1216822
4 + 1239987 1241096
4 + 1242729 1243158
4 + 1288186 1289216
4 + 1292428 1294291
4 + 1296926 1298350
4 + 1302203 1302694
4 + 1319425 1320944
4 + 1325456 1328461
4 + 1359112 1359871
4 + 1365064 1366857
4 + 1367008 1367429
4 + 1402897 1404582
4 + 1406057 1408864
4 + 1408910 1411997
4 + 1427361 1429053
4 + 1445771 1447031
4 + 1454911 1455847
4 + 1455999 1459361
4 + 1459755 1461696
4 + 1483659 1485539
4 + 1493413 1494267
4 + 1496730 1498160
4 + 1500705 1502461
4 + 1502640 1505003
5 + 9953 11392
5 + 11527 11885
5 + 34039 34398
5 + 39872 42059
5 + 45148 45968
5 + 53864 56255
5 + 61087 62171
5 + 65381 67013
5 + 85173 85582
5 + 140578 141641
5 + 150258 151151
5 + 228382 229708
5 + 237462 238141
5 + 238297 241800
5 + 258279 260619
5 + 261941 266391
5 + 270628 271590
5 + 313980 316638
5 + 316673 318841
5 + 343580 347654
5 + 347765 349360
5 + 353721 354390
5 + 377966 378669
5 + 394276 396576
5 + 399400 400848
5 + 422022 423497
5 + 424680 429899
5 + 449552 451508
5 + 460480 461840
5 + 462972 465027
5 + 467701 468940
5 + 483284 484767
5 + 498387 500340
5 + 500611 503664
5 + 504001 505058
5 + 559098 560403
5 + 560639 562622
5 + 562938 563901
6 + 16433 20073
6 + 28120 32831
6 + 36214 36776
6 + 44544 46251
6 + 46372 48937
6 + 69021 74671
6 + 79229 80235
6 + 80401 82069
6 + 97973 98771
6 + 107198 107738
6 + 110166 110620
6 + 114826 115674
6 + 118784 119353
6 + 134572 135558
6 + 166648 167210
6 + 172431 173699
6 + 173701 176489
6 + 203648 204866
6 + 205616 207092
6 + 225702 226609
6 + 241593 241969
6 + 244272 245881
6 + 259364 260508
7 + 27773 29032
7 + 30306 31834
7 + 63757 64419
7 + 74452 76790
7 + 79083 79852
7 + 81294 82422
7 + 153013 154840
7 + 166227 167777
7 + 173181 174520
7 + 228741 230121
7 + 269303 270059
7 + 280772 281421
7 + 286097 287003
7 + 303606 304347
7 + 316778 317297
7 + 320008 320520
7 + 345808 345965
7 + 345978 347165
7 + 366785 368360
7 + 382102 383414
7 + 422136 422921
7 + 433505 435091
7 + 443568 446353
7 + 471968 472812
7 + 478961 479265
7 + 483934 485312
7 + 490744 492291
7 + 498176 500080
7 + 521099 522062
7 + 545123 546342
7 + 567729 568579
7 + 574665 575145
7 + 584491 584771
7 + 605736 606078
7 + 609410 610473
7 + 616296 618102
7 + 618122 619177
7 + 620239 621885
7 + 627269 631386
7 + 637062 639631
7 + 647052 648237
7 + 651269 653180
7 + 654338 656363
7 + 678122 678433
7 + 700080 700447
7 + 701748 703371
7 + 733198 733784
7 + 766879 767451
7 + 794621 795619
7 + 795865 798488
7 + 834924 836127
7 + 848587 850878
7 + 850900 854865
7 + 859814 862544
7 + 871949 875046
7 + 884474 886709
7 + 913454 915132
7 + 942646 944865
7 + 962318 965716
7 + 968800 970675
7 + 974960 976766
7 + 978328 979877
7 + 994279 995082
7 + 1000686 1000834
7 + 1007647 1008475
7 + 1016936 1017875
7 + 1017881 1019542
7 + 1026128 1026876
7 + 1038727 1039466
7 + 1059037 1060293
7 + 1060293 1061706
7 + 1061705 1063112
7 + 1063735 1064810
7 + 1065472 1066564
7 + 1078612 1080262
7 + 1082769 1083695
8 + 4821 5151
8 + 6388 7674
8 + 18242 21709
8 + 62953 64257
8 + 64442 66013
8 + 67664 69646
8 + 81885 84588
8 + 98337 98939
8 + 115407 116495
8 + 121891 124020
8 + 131731 132887
8 + 136683 138693
8 + 151020 151597
8 + 164940 167512
8 + 167615 168665
8 + 168752 170428
8 + 170703 173212
8 + 187139 187892
8 + 193088 193642
8 + 198591 201365
8 + 201620 204539
8 + 218908 220049
8 + 222858 225192
8 + 284854 286995
8 + 286995 288324
8 + 288429 289049
8 + 289790 290909
8 + 293714 296702
8 + 314222 315806
8 + 362985 365042
8 + 377960 381332
8 + 381544 382587
8 + 411083 413364
8 + 437229 439124
8 + 456039 456560
8 + 461757 462400
8 + 501257 504234
8 + 522181 522945
8 + 549770 551653
8 + 554155 556194
9 + 40198 41518
9 + 53905 55172
9 + 96853 98494
9 + 99955 102283
9 + 136279 138210
9 + 187960 191094
9 + 202250 205249
9 + 232990 235491
9 + 243856 245849
9 + 257671 258768
9 + 274062 274971
9 + 275094 276431
9 + 289249 290206
9 + 290209 292290
9 + 331106 333743
9 + 357031 359198
9 + 393037 396995
9 + 415027 415975
9 + 425441 426362
9 + 432469 433938
10 + 41281 43889
10 + 47656 50084
10 + 73747 74798
10 + 82120 83056
10 + 87796 88705
10 + 90513 90715
10 + 99632 101047
10 + 101071 102092
10 + 109771 113394
10 + 116679 118940
10 + 123738 126454
10 + 126673 129071
10 + 129169 130692
10 + 134200 137115
10 + 152371 153119
10 + 154929 156499
10 + 173566 175481
10 + 180481 185538
10 + 186878 187942
10 + 254653 256832
10 + 299152 300633
10 + 314103 314987
10 + 315661 316699
10 + 329055 330309
10 + 337946 338214
10 + 349198 352345
10 + 358300 361204
10 + 380272 380973
10 + 386371 387366
10 + 413628 414226
10 + 432142 432476
10 + 445403 445852
10 + 457922 458940
10 + 466479 467167
10 + 467200 468569
10 + 468571 469341
10 + 471101 472482
10 + 486495 490807
10 + 492415 496505
10 + 524852 526174
10 + 570872 573005
10 + 577068 578137
10 + 581766 583557
10 + 604492 605826
10 + 613186 615484
10 + 620566 622541
10 + 628849 633004
10 + 640636 641791
10 + 644159 646404
10 + 663738 667101
10 + 678882 683758
10 + 717065 718160
10 + 721635 724050
10 + 728601 729854
11 + 8070 11444
11 + 11595 13376
11 + 13583 14533
11 + 30896 31893
11 + 38644 42334
11 + 45055 46560
11 + 66491 67840
11 + 69669 74346
11 + 87327 89189
11 + 115093 118243
11 + 133639 134116
11 + 134347 136034
11 + 136165 136775
11 + 136944 137913
11 + 145867 146841
11 + 153749 154956
11 + 164903 166503
11 + 185129 185897
11 + 188969 190652
11 + 191677 192678
11 + 200442 202674
11 + 223215 226159
11 + 246045 248529
11 + 255676 256672
11 + 269644 271527
11 + 328088 329755
11 + 335125 336362
11 + 342862 346714
11 + 364593 369351
11 + 382680 384830
11 + 389161 391593
11 + 420249 421428
11 + 446837 447744
11 + 448961 450547
11 + 454858 457161
11 + 476040 479063
11 + 489904 490450
11 + 510769 511300
11 + 514130 514998
11 + 533931 535569
