chrom strand start end feature
1 + 142356 142478 snR18
2 + 88179 88287 snR56
2 - 307174 307355 snR161
3 - 107493 107722 snR43
3 - 142353 142556 snR33
3 + 177172 177292 snR65
3 - 178599 178808 snR189
4 - 323206 323481 snR63
4 - 541591 541710 snR47
4 + 1402908 1403052 snR13
4 - 1492466 1493036 snR84
5 - 52139 52330 snR80
5 + 61341 61443 snR67
5 + 61688 61799 snR53
5 - 167416 167596 snR14
5 + 424687 424893 snR4
5 - 431118 431230 snR52
7 - 365152 365261 snR39
7 - 366363 366479 snR39B
7 + 316777 317065 snR82
7 + 345975 346240 snR10
7 + 545359 545576 snR46
7 + 609573 609706 snR48
7 - 939448 939682 snR7-L
7 - 939483 939682 snR7-S
8 + 381529 381737 snR32
8 + 411217 411327 snR71
9 + 97100 97256 snR68
10 - 139555 139701 snR128
10 - 139750 139960 snR190
10 - 228083 228489 snR37
10 - 349119 349243 snR60
10 + 663738 663952 snR3
11 - 559005 559376 snR42
11 + 38800 38921 snR64
11 + 283174 283289 snR38
11 + 364765 364886 snR69
11 - 431019 431148 snR87
12 + 198773 199399 snR30
12 + 899169 899392 snR34
12 - 348416 348520 snR79
12 + 366224 366356 snR6
12 - 794475 794585 snR61
12 - 794686 794804 snR55
12 - 794926 795034 snR57
12 + 856699 856930 snR44
13 - 67757 67948 snR85
13 - 163524 163630 snR54
13 - 499973 500082 snR24
13 + 297267 297374 snR78
13 + 297495 297603 snR77
13 + 297714 297843 snR76
13 + 297907 298016 snR75
13 + 298127 298235 snR74
13 + 298296 298422 snR73
13 + 298543 298661 snR72
13 - 762099 763123 snR86
13 + 626338 626664 snR83
13 + 652264 652542 snR11
14 + 89199 89316 snR40
14 + 586079 586185 snR66
14 - 230094 230682 snR19
14 + 716109 716294 snR49
14 - 721927 722221 snR191
15 - 136077 136193 snR58
15 - 680674 680876 snR36
15 - 407937 408144 snR9
15 - 409754 409874 snR62
15 + 234335 234556 snR81
15 + 259478 259588 snR50
15 - 759315 759539 snR35
15 + 780096 780606 snR17a
15 + 832321 832531 snR8
15 - 841947 842192 snR31
15 + 842392 842616 snR5
16 + 173816 173914 snR59
16 - 281045 281527 snR17b
16 - 718689 718816 snR51
16 - 718876 719060 snR70
16 - 719137 719252 snR41
16 + 821721 821913 snR45
2 - 680677 681872 LSR1
14 + 585576 585936 NME1
